,x,y,u,v,vector
0,8.0,472.0,155.50754075252522,4.309341241430735,156.39941704147222
1,16.0,472.0,164.5595628814658,4.78393957053195,166.89889923955892
2,24.0,472.0,169.0478609221654,3.145961477081233,170.32822673908095
3,32.0,472.0,172.43234660522674,2.7284956867418515,173.4073726478471
4,40.0,472.0,176.50673430734204,3.747280849140105,177.18819650672768
5,48.0,472.0,180.49854732579286,3.160774080218322,181.30193760413565
6,56.0,472.0,180.7514489142382,3.8492600017441303,181.55690798311127
7,64.0,472.0,181.37004012887908,3.8543023766628046,182.35950532281095
8,72.0,472.0,181.60724826390765,3.5904279194555424,182.33572254844057
9,80.0,472.0,181.75200687540155,3.813467536437843,183.60377868505162
10,88.0,472.0,183.26207146304327,3.0661124774173785,185.31052383537704
11,96.0,472.0,183.31108275447667,3.278397330667264,185.03197967242562
12,104.0,472.0,185.516803465791,4.137737443882385,186.26017669091044
13,112.0,472.0,186.24828403580403,3.7560670483816856,187.18130617680248
14,120.0,472.0,184.93666820013428,4.109269613858076,186.14067455045725
15,128.0,472.0,186.80709803640593,2.589173351990218,187.53283389954717
16,136.0,472.0,186.47083978546704,2.5555531196156083,187.14548328824762
17,144.0,472.0,186.42291663894878,1.8734895092030892,187.0975600536483
18,152.0,472.0,185.17635591778253,2.946064246989959,186.3843880920035
19,160.0,472.0,183.89825976742716,4.1501090389702044,184.75426575257947
20,168.0,472.0,183.16262596868535,4.739827199031158,184.10878075316148
21,176.0,472.0,184.65531400702892,3.6559337768505547,185.30362411639953
22,184.0,472.0,183.8534910380388,2.6794283132959293,184.97868553279056
23,192.0,472.0,182.88642496868434,3.1972762048284227,184.2086094127456
24,200.0,472.0,179.793605095542,4.04896971430982,181.58539224863182
25,208.0,472.0,171.66035439209415,3.2519292443343897,174.12588639655934
26,216.0,472.0,146.63114848304673,1.1408928386594708,150.46950132513723
27,224.0,472.0,158.71941223691954,0.9464943945556252,163.16580277489703
28,232.0,472.0,175.89607027421118,3.3268710773087307,177.57564418065883
29,240.0,472.0,181.0521968405224,3.434525590355287,182.1934443431627
30,248.0,472.0,181.16804503573766,2.4195349980647323,182.61879959008306
31,256.0,472.0,182.5794211089579,2.7830079850903724,183.7478903290064
32,264.0,472.0,182.87245141170797,2.6762438611608115,184.47905777217628
33,272.0,472.0,182.81072445660612,1.5975108596570464,183.86404663087725
34,280.0,472.0,180.8042927190154,2.404691091182489,183.37873227596077
35,288.0,472.0,178.8263266113044,1.7344571004350176,183.8482791210328
36,296.0,472.0,180.37551683601845,2.3228738942531773,182.8160824090586
37,304.0,472.0,181.11129954532163,2.49702508351831,182.25236867777133
38,312.0,472.0,182.2657563843071,2.6500310303517702,184.2306112666381
39,320.0,472.0,180.13124905315652,3.4676623091680248,183.24075978434777
40,328.0,472.0,179.4268307779111,1.7050955772021446,181.608486022217
41,336.0,472.0,178.29457519337075,3.6139195862528184,181.34679701386165
42,344.0,472.0,176.77806445913063,3.755856600812426,179.01315824486616
43,352.0,472.0,176.2715626758576,2.6619515675625074,180.64615324135647
44,360.0,472.0,177.36329975131298,1.7378576679265625,180.20180204790444
45,368.0,472.0,178.8391609013278,1.8597868847984855,181.40235239045384
46,376.0,472.0,177.54778542692787,1.7382833215388738,179.68238391047373
47,384.0,472.0,176.57947372319995,0.8531192910542654,179.10804378637596
48,392.0,472.0,173.83490990905486,1.4637310910897834,177.88314239942696
49,400.0,472.0,175.02023626464052,2.461229859725179,177.4960210453109
50,408.0,472.0,173.31625888159095,1.9503912857079708,175.68393664408052
51,416.0,472.0,171.8899030584251,3.0518041965985985,175.84403841597793
52,424.0,472.0,171.83731710499592,1.92813961981238,175.4916376634032
53,432.0,472.0,174.64544303589238,2.618114151912878,177.80523350271542
54,440.0,472.0,171.15783814471112,2.769399703942863,175.13634686837943
55,448.0,472.0,169.8988403833793,1.5061463479870223,174.8606217444702
56,456.0,472.0,169.57278940011486,2.9942372077114014,174.59950574026885
57,464.0,472.0,168.48667720181638,3.4062137467540325,171.65909579919827
58,472.0,472.0,164.89486914196735,4.029279230951087,171.8137586159731
59,480.0,472.0,165.73511913517606,0.9655063440723977,169.30778625406944
60,488.0,472.0,170.21721551060745,0.5236541476738671,173.19118654004282
61,496.0,472.0,170.64680680785273,1.8663525676832335,173.31210344654937
62,504.0,472.0,168.91579475291735,1.5313092359197398,172.57518741424943
63,512.0,472.0,169.50644558384153,0.9488173781940218,173.0036515276365
64,520.0,472.0,169.36885915992673,0.9035162128346257,171.94359897195872
65,528.0,472.0,168.96778155651035,0.5108225524298766,173.21672372748438
66,536.0,472.0,168.56044653129254,-0.9945107559918559,172.70334132297694
67,544.0,472.0,164.73528757243628,0.840423390344499,171.08658317188923
68,552.0,472.0,163.91305138912176,2.2322269857174977,170.04184882644125
69,560.0,472.0,166.88916986626907,2.8574161094836286,172.08764058684432
70,568.0,472.0,164.67200079779664,2.177265489634508,170.08424852640607
71,576.0,472.0,168.31461199854954,-0.1980069640815087,171.1387019937306
72,584.0,472.0,164.02448799670276,-0.1250407953622073,169.70613070669674
73,592.0,472.0,165.0592247968808,1.8183870657907504,171.28330780796236
74,600.0,472.0,168.79113741354854,0.4052565982556093,171.6961557340829
75,608.0,472.0,164.5171343637774,0.6423244573233724,169.32429713563764
76,616.0,472.0,165.19623826147802,2.105550644842147,168.49101974860025
77,624.0,472.0,161.9590356513174,-0.8818939988785451,169.02207664658292
78,632.0,472.0,148.26043254666027,-1.640511382909455,157.76563379169073
79,8.0,464.0,165.27898656464382,5.535894868827913,168.02871304193124
80,16.0,464.0,165.06076628220168,5.668912137617421,167.78014674073543
81,24.0,464.0,167.5777076029626,3.9291119976038225,169.1700017687684
82,32.0,464.0,173.14184241864106,4.426088130822251,174.03666321094713
83,40.0,464.0,176.03497041320134,5.056428008435547,176.92305696241863
84,48.0,464.0,179.82948683741012,5.543089785034286,180.78673281563414
85,56.0,464.0,179.51097113023636,4.935898065963118,180.49577414645296
86,64.0,464.0,180.67082627887075,5.213164675913727,181.90354972822473
87,72.0,464.0,180.59033643570115,5.35182283684122,181.44963615903282
88,80.0,464.0,181.617973743901,4.928116523127463,183.08578185596963
89,88.0,464.0,182.61979981261618,5.909438816599731,184.0944505723226
90,96.0,464.0,183.29490585855046,5.590634467027471,184.7633254653504
91,104.0,464.0,183.51023097305753,5.506831267662894,185.39855340743424
92,112.0,464.0,183.94548183592747,4.814371312540385,185.05610010578653
93,120.0,464.0,184.29835471551283,4.590391405747997,186.15425048549753
94,128.0,464.0,184.17266976436485,4.217773075301803,185.613903620234
95,136.0,464.0,184.70211698074576,4.038182678148102,185.6543218831641
96,144.0,464.0,184.47219394205067,3.585313805932921,185.20942227325608
97,152.0,464.0,183.30314877280722,3.7437672938068247,184.42662799343586
98,160.0,464.0,180.12527043393447,4.9408077797501715,181.66347000132083
99,168.0,464.0,179.8119234887188,3.970244371009451,180.937329140626
100,176.0,464.0,183.11959714282779,3.5059142813760165,184.14710540158518
101,184.0,464.0,182.74551716520062,4.411143523270849,185.30051574205137
102,192.0,464.0,179.37540911738108,5.287286509281864,181.9958509115801
103,200.0,464.0,178.22270921872396,4.387551948644173,179.99333585547814
104,208.0,464.0,168.93112035750158,3.210181321282736,171.06970574280948
105,216.0,464.0,118.26573032273221,-1.8247677433341778,123.32270488792773
106,224.0,464.0,117.1804014123988,-0.04164514376820025,123.12725666229802
107,232.0,464.0,162.49471562048524,3.1785069465537235,166.46851581901552
108,240.0,464.0,179.47370744653935,5.09676047045287,181.8624958382178
109,248.0,464.0,179.8780006070008,3.868956239184132,181.7065828498367
110,256.0,464.0,178.34742815509827,4.251216563034469,180.4965908795561
111,264.0,464.0,180.2345343575444,3.2983541234416047,181.02557429800052
112,272.0,464.0,181.55758797459256,4.578008239002271,182.36128930017114
113,280.0,464.0,178.71456109521665,4.152154625456866,180.84830551709152
114,288.0,464.0,178.1949487925327,2.3506163736646135,181.26561201293987
