"Iteration","Continuity: Residual","X-momentum: Residual","Y-momentum: Residual","Sa_nut: Residual"
1.0,0.4812444489943156,1.0,0.27890656526273994,1.0
2.0,1.0,0.5738190260478757,1.0,0.63981481080327
3.0,0.4416813761010781,0.3875547611922192,0.6624466108417005,0.40937466992804233
4.0,0.41713389216044117,0.26146690505240094,0.411054281687394,0.26192782394893327
5.0,0.4597588767897562,0.17107066538019158,0.2638174529053204,0.1675814176252749
6.0,0.47243841090034094,0.11125291637012469,0.180454025804939,0.10721635303870919
7.0,0.4264667227307844,0.07534976754726613,0.13340097838928694,0.0685984664491748
8.0,0.3567355242897164,0.05821132597866372,0.10682920873966764,0.04389683593657382
9.0,0.2636470120166579,0.05311609138363707,0.0908277721302837,0.028102317919578883
10.0,0.1939114437427874,0.04969829783896013,0.0824240397749988,0.018013825012826955
11.0,0.14896373092017182,0.046961614604602166,0.07492152224649685,0.01225844074084957
12.0,0.12540101076706767,0.04412658169906943,0.06725710023092721,0.008490886540932118
13.0,0.10663089438969887,0.041536945731201154,0.05983509114657846,0.006002328204605343
14.0,0.0898096312985143,0.038971015782480974,0.05313033044951661,0.004411346130374864
15.0,0.07586217441558392,0.03689084193147525,0.04778580898713632,0.0034113507567172137
16.0,0.06398795634842494,0.03484853109713985,0.043537779842704995,0.002780366471594364
17.0,0.05441868143668649,0.03358284025313984,0.04129949000965065,0.002368034758948909
18.0,0.04557067675572461,0.03217709319688854,0.03936823724246244,0.0020916530462175838
19.0,0.0385021342755461,0.031341119844308665,0.03924935028350651,0.0018962857725863583
20.0,0.034497626690317085,0.030058646573822158,0.038439221188072095,0.0017442012058255173
21.0,0.031528627049370775,0.02957207313511417,0.03800877663261227,0.001639486266219869
22.0,0.03207319726629212,0.028821858469978142,0.03732102958673752,0.001563656172453554
23.0,0.029305202087691263,0.02820904275154652,0.03664551732759485,0.0015124345015109556
24.0,0.02839668886069418,0.027459585335262333,0.03578563011659553,0.0014721886908882962
25.0,0.027422347919812535,0.026666471978280575,0.034815702105303346,0.001443000039373059
26.0,0.02579381494281891,0.026103103831527603,0.03373981043322157,0.0014250387602269378
27.0,0.024960461125556836,0.025576469699900403,0.032566676230064616,0.0014097137469383746
28.0,0.024024189826260315,0.024970465298904385,0.03135315532183374,0.0013898349705300556
29.0,0.024354306443161753,0.024624208155203175,0.030185551688314313,0.00137263941333869
30.0,0.02414750193073349,0.024118135143631345,0.028954036781282146,0.001361143044529949
31.0,0.02270687216295456,0.023531377601981457,0.027791877373102392,0.0013522015951153686
32.0,0.022584458644348337,0.02305639987257483,0.02664647899883834,0.001351496810217176
33.0,0.02212645512588975,0.02263655744870439,0.02545770310726695,0.0013529740004472929
34.0,0.02141809009544884,0.022232401539536192,0.024329629885807186,0.0013613819468859985
35.0,0.02066859101113187,0.021795276362595407,0.023192861046443546,0.001373265291025317
36.0,0.02030267845182804,0.021403491760871265,0.022030803764952554,0.0013854621876019486
37.0,0.01974734278981951,0.021043894210052583,0.020933324044344028,0.0014071703017399478
38.0,0.0199313976165724,0.020871040722659585,0.0198794696695531,0.0014273821301512579
39.0,0.02004625320198364,0.020614959528133626,0.018797544652310087,0.0014467654235200546
40.0,0.020662593042814942,0.02027445979883197,0.017756556684031324,0.0014660646613764501
41.0,0.020374300144089707,0.019766795006138895,0.016747857770250084,0.001484846238894612
42.0,0.020296040520538287,0.0194203316828342,0.015760620596356942,0.0015047759734424433
43.0,0.020662629084798708,0.019061430560265068,0.014766961612183941,0.0015236043578183984
44.0,0.020532192582974607,0.018779442154356275,0.013843818127696047,0.0015430743494931941
45.0,0.020625561645392705,0.018612766473062436,0.013029527235849896,0.0015576945194898408
46.0,0.020056620489438827,0.018384051494206164,0.012327253125061393,0.001568284134299811
47.0,0.021339145190856588,0.018355378391666944,0.011720757266852637,0.0015727396092337035
48.0,0.02245744701507177,0.01818439424690432,0.011209779725392858,0.0015671867455537183
49.0,0.02297147800188765,0.01773156839539064,0.010893543583867776,0.001558088184453421
50.0,0.02355391696133887,0.01741321736873857,0.010796397580180724,0.0015534394677550129
51.0,0.024231565665343863,0.017217238844287337,0.010890582077489969,0.001551510753073902
52.0,0.023456067318180403,0.01690773945485346,0.011142722175281021,0.001550795256079761
53.0,0.023664453076225316,0.016880936675058716,0.011511205345960448,0.0015485144791274053
54.0,0.023912729146556847,0.016885941928635788,0.011985018193979104,0.0015390880300869055
55.0,0.024286049533182804,0.016751214100357653,0.012553742277502201,0.0015267137286839856
56.0,0.024731305303689433,0.01675865095820919,0.013180232424768833,0.0015190694959972603
57.0,0.02465063817311445,0.016827581708999253,0.0138245845400473,0.001517008853662568
58.0,0.023498299329781102,0.016625357756487227,0.014395505376264741,0.0015225500374667982
59.0,0.023407922960901547,0.01644767663150557,0.014835353210955282,0.001536349544825836
60.0,0.024020911668447203,0.016361961964284726,0.015218218030824768,0.001559080925813146
