
Case ID, Side Force, Pitching Moment, Normal Force, Yawing Moment , Rolling Moment, Axial Force, Dynamic Pressure, Static Pressure, Air Speed
3.000000,-0.070021,0.225938,0.116596,-0.050432,0.027927,0.170160,0.179100,-0.010929,151.149295
3.000000,-0.073277,0.230281,0.120957,-0.049286,0.032125,0.162263,0.179148,-0.010941,151.169798
3.000000,-0.075212,0.203152,0.120909,-0.073664,0.028671,0.164079,0.179061,-0.011039,151.132857
3.000000,-0.062445,0.217927,0.113468,-0.054341,0.073876,0.171016,0.178965,-0.011017,151.092604
3.000000,-0.074070,0.196821,0.123540,-0.078237,0.068690,0.163584,0.179043,-0.010951,151.125260
4.000000,-0.180209,0.373237,0.217735,-0.117944,0.253967,0.281447,0.314833,-0.008306,200.400468
4.000000,-0.180715,0.373891,0.218907,-0.123931,0.312337,0.283120,0.314519,-0.008452,200.300619
4.000000,-0.170010,0.389515,0.211432,-0.112088,0.279942,0.283590,0.314388,-0.008254,200.258801
4.000000,-0.183583,0.397778,0.221169,-0.120871,0.235541,0.291566,0.314717,-0.008029,200.363428
4.000000,-0.184255,0.388976,0.204250,-0.135071,0.293733,0.286862,0.314264,-0.008179,200.219373
4.000000,-0.172518,0.410335,0.218999,-0.114772,0.247188,0.279674,0.314299,-0.008305,200.230432
4.000000,-0.180609,0.406290,0.220499,-0.114449,0.227487,0.286348,0.314232,-0.008117,200.209014
4.000000,-0.199289,0.400971,0.220606,-0.136568,0.305648,0.283907,0.314315,-0.008017,200.235697
4.000000,-0.160835,0.404150,0.206113,-0.100840,0.290101,0.288236,0.315069,-0.007747,200.475488
4.000000,-0.177556,0.428620,0.219879,-0.110572,0.315115,0.285433,0.315185,-0.007962,200.512423
4.000000,-0.168939,0.396132,0.216792,-0.114829,0.266714,0.283991,0.314706,-0.008187,200.360077
4.000000,-0.183418,0.404631,0.213367,-0.126434,0.315875,0.285053,0.315077,-0.007994,200.478160
4.000000,-0.175447,0.400439,0.223506,-0.119638,0.255216,0.287280,0.314862,-0.008142,200.409719
4.000000,-0.159386,0.384657,0.202479,-0.117395,0.263379,0.284879,0.314259,-0.008470,200.217799
4.000000,-0.158090,0.399430,0.198040,-0.106767,0.291132,0.281632,0.313945,-0.008560,200.117674
4.000000,-0.177349,0.398802,0.227913,-0.128721,0.323485,0.288796,0.313973,-0.008244,200.126589
4.000000,-0.180133,0.412843,0.230556,-0.120656,0.295690,0.281784,0.314764,-0.007663,200.378457
4.000000,-0.187356,0.399168,0.216900,-0.133163,0.287375,0.286391,0.315467,-0.007623,200.602086
4.000000,-0.185927,0.402572,0.229393,-0.130833,0.284648,0.289254,0.315011,-0.007950,200.457034
4.000000,-0.170814,0.414355,0.225003,-0.105240,0.301000,0.278372,0.314766,-0.008178,200.379293
4.000000,-0.164309,0.401671,0.207164,-0.105475,0.305770,0.283464,0.315074,-0.008026,200.477008
5.000000,-0.243973,0.625781,0.297807,-0.142404,0.515430,0.442111,0.494891,-0.006259,251.254201
5.000000,-0.274028,0.624911,0.311844,-0.174704,0.531289,0.435429,0.494648,-0.006628,251.192574
5.000000,-0.298585,0.652547,0.335237,-0.160177,0.754648,0.435501,0.494780,-0.006701,251.226044
5.000000,-0.242539,0.605772,0.288311,-0.151617,0.625345,0.437129,0.495079,-0.006805,251.301911
5.000000,-0.226938,0.612977,0.287361,-0.143342,0.631475,0.445747,0.494481,-0.007413,251.150154
5.000000,-0.245303,0.587694,0.292035,-0.147331,0.489347,0.435602,0.492544,-0.008314,250.657651
5.000000,-0.278401,0.637061,0.321837,-0.150510,0.740091,0.425216,0.491854,-0.008300,250.482004
5.000000,-0.289837,0.619561,0.327559,-0.172269,0.697350,0.435299,0.490620,-0.008156,250.167753
5.000000,-0.347712,0.655636,0.370526,-0.200268,0.714891,0.447745,0.492198,-0.006516,250.569741
5.000000,-0.255233,0.619218,0.291299,-0.140857,0.484550,0.444524,0.494054,-0.006301,251.041606
5.000000,-0.285640,0.609893,0.309265,-0.181028,0.497920,0.440592,0.493369,-0.007011,250.867631
5.000000,-0.278951,0.634808,0.326999,-0.171311,0.538497,0.426719,0.494160,-0.006593,251.068718
5.000000,-0.190428,0.592884,0.243102,-0.114034,0.401925,0.438428,0.494453,-0.006913,251.143046
5.000000,-0.291756,0.629410,0.315405,-0.166610,0.714548,0.431802,0.492430,-0.007955,250.628760
5.000000,-0.257506,0.602891,0.319071,-0.147084,0.561958,0.439687,0.492488,-0.007417,250.643530
5.000000,-0.323377,0.627520,0.347793,-0.191624,0.705828,0.440584,0.492596,-0.007191,250.670945
5.000000,-0.260856,0.586375,0.289268,-0.158192,0.495373,0.443467,0.494174,-0.006397,251.072231
5.000000,-0.311005,0.632673,0.357458,-0.174981,0.719225,0.438766,0.494225,-0.006579,251.085011
5.000000,-0.257889,0.641194,0.303263,-0.120550,0.588443,0.425656,0.493765,-0.007181,250.968123
5.000000,-0.289532,0.567344,0.303624,-0.190862,0.648127,0.458905,0.493767,-0.006996,250.968756
5.000000,-0.270952,0.643580,0.315317,-0.141884,0.662098,0.433757,0.494720,-0.006451,251.210765
6.000000,3.060356,-1.072612,-2.263524,1.659187,0.239395,-0.004808,0.177134,-0.012521,150.317664
6.000000,3.056797,-1.041167,-2.260494,1.670937,0.223273,-0.015310,0.177033,-0.012505,150.274461
6.000000,3.067821,-1.014703,-2.256018,1.698641,0.264508,-0.037206,0.176909,-0.012523,150.222220
6.000000,3.048005,-1.098696,-2.268024,1.625686,0.271068,-0.034351,0.176970,-0.012366,150.248003
6.000000,3.073260,-0.982209,-2.258176,1.712811,0.255203,-0.029703,0.176991,-0.012404,150.256817
6.000000,3.062173,-1.077003,-2.278062,1.651448,0.312019,-0.005835,0.176932,-0.012438,150.231950
6.000000,3.061012,-0.998420,-2.253809,1.698543,0.267058,0.001983,0.176915,-0.012454,150.224454
6.000000,3.058174,-1.063700,-2.269238,1.652111,0.282432,-0.034846,0.176960,-0.012421,150.243529
6.000000,3.072879,-1.021100,-2.266627,1.698005,0.301481,-0.037747,0.176982,-0.012449,150.252828
6.000000,3.065281,-1.043029,-2.278686,1.663062,0.301534,-0.036828,0.176879,-0.012477,150.209220
6.000000,3.066150,-1.000011,-2.272530,1.684627,0.296409,-0.013415,0.176793,-0.012490,150.172653
6.000000,3.066221,-1.046613,-2.276325,1.676639,0.308191,-0.014253,0.176826,-0.012488,150.186738
6.000000,3.074890,-1.027232,-2.280917,1.691023,0.289493,-0.009729,0.176765,-0.012319,150.161039
6.000000,3.077259,-1.008009,-2.285209,1.690149,0.301143,-0.025244,0.177124,-0.012174,150.313460
6.000000,3.055203,-1.027557,-2.279559,1.659667,0.317802,-0.045163,0.177020,-0.012276,150.269232
6.000000,3.070892,-1.013257,-2.268158,1.688230,0.298096,-0.022244,0.176809,-0.012272,150.179578
6.000000,3.057117,-1.044396,-2.275122,1.667944,0.278465,-0.009659,0.176966,-0.012325,150.246055
6.000000,3.086102,-1.008821,-2.275910,1.704831,0.328766,-0.010678,0.176945,-0.012290,150.237173
6.000000,3.070752,-1.022985,-2.273228,1.674863,0.360245,-0.025637,0.176972,-0.012333,150.248843
6.000000,3.071887,-0.998661,-2.273693,1.696063,0.299615,-0.029477,0.176991,-0.012210,150.256697
6.000000,3.067483,-1.052524,-2.287035,1.660164,0.333505,-0.029893,0.177002,-0.012213,150.261513
7.000000,4.743519,-1.384937,-3.522005,2.150337,0.353439,-0.268193,0.177544,-0.012348,150.491375
7.000000,4.747282,-1.406727,-3.533684,2.140270,0.308746,-0.280286,0.177602,-0.012209,150.516136
7.000000,4.734842,-1.400263,-3.517865,2.144429,0.341478,-0.269920,0.177636,-0.012253,150.530519
7.000000,4.739851,-1.423146,-3.535197,2.152768,0.336535,-0.234942,0.177564,-0.012310,150.499700
7.000000,4.737053,-1.392823,-3.524542,2.145538,0.340806,-0.240658,0.177599,-0.012308,150.514690
7.000000,4.742743,-1.405781,-3.523779,2.150003,0.347524,-0.268683,0.177529,-0.012399,150.485003
7.000000,4.743605,-1.420161,-3.525236,2.142101,0.328628,-0.263325,0.177524,-0.012143,150.482714
7.000000,4.753901,-1.403289,-3.517636,2.155813,0.325237,-0.256182,0.177726,-0.012181,150.568621
7.000000,4.736754,-1.436693,-3.520775,2.131312,0.351868,-0.258551,0.177688,-0.012309,150.552224
7.000000,4.750578,-1.381085,-3.512774,2.174417,0.318042,-0.264473,0.177644,-0.012323,150.533543
7.000000,4.731989,-1.442585,-3.523780,2.110722,0.342852,-0.255116,0.177600,-0.012303,150.515308
7.000000,4.754332,-1.364527,-3.514686,2.178382,0.331662,-0.256598,0.177643,-0.012227,150.533132
7.000000,4.739665,-1.435651,-3.525589,2.122774,0.347067,-0.259303,0.177812,-0.012314,150.605016
7.000000,4.734758,-1.390335,-3.510323,2.151352,0.303582,-0.260685,0.177548,-0.012475,150.493029
7.000000,4.739432,-1.396876,-3.525063,2.141364,0.311608,-0.253685,0.177510,-0.012450,150.477169
7.000000,4.735784,-1.400439,-3.520275,2.156482,0.318105,-0.254246,0.177586,-0.012310,150.509304
7.000000,4.738864,-1.416640,-3.525749,2.146528,0.324294,-0.251052,0.177699,-0.012168,150.557051
7.000000,4.751921,-1.400324,-3.527324,2.163812,0.342256,-0.256816,0.177780,-0.012155,150.591510
7.000000,4.742777,-1.418189,-3.528333,2.136977,0.357272,-0.263786,0.177776,-0.012211,150.589737
7.000000,4.735669,-1.401404,-3.527368,2.154140,0.327251,-0.256587,0.177826,-0.012269,150.610763
7.000000,4.743973,-1.418590,-3.530189,2.143774,0.323131,-0.256250,0.177768,-0.012251,150.586471
8.000000,6.122458,-2.002158,-4.573783,2.937790,0.219704,-0.577060,0.178348,-0.013517,150.831635
