,x,y,u,v,vector
0,8.0,472.0,140.7378630753348,3.692356039352127,141.74034719428295
1,16.0,472.0,151.58940769391614,3.69880357416796,153.44944103549074
2,24.0,472.0,156.1100022726853,4.9610687664822954,157.93711271054644
3,32.0,472.0,161.6452782972259,5.3226148921905905,163.01606456432458
4,40.0,472.0,166.06757019267783,4.403409049023208,166.80787782591986
5,48.0,472.0,169.47437780863623,4.616638269501444,170.1493810228476
6,56.0,472.0,168.9906137560494,5.196886897720983,169.6998513767373
7,64.0,472.0,172.16965100289164,5.389412226093752,172.8731748751458
8,72.0,472.0,171.5595818374215,5.906772002276842,172.4373890669726
9,80.0,472.0,172.29119333941495,4.4642933549965464,173.09945553053663
10,88.0,472.0,175.86533806800213,4.28424153236508,176.54521506882728
11,96.0,472.0,178.21195551153917,3.700247568218604,178.86781351741996
12,104.0,472.0,179.216490612756,3.874845680619015,179.87766626800843
13,112.0,472.0,179.14441052001962,4.05361283092737,180.70320084139487
14,120.0,472.0,180.92862975678895,4.5171918224078915,181.80836201869695
15,128.0,472.0,181.09806519902216,4.881894105371983,181.96781541802136
16,136.0,472.0,181.03726651749952,5.174879823039896,181.9446103752084
17,144.0,472.0,180.63735804332686,5.592784348058644,181.75119402010216
18,152.0,472.0,182.80986410984346,4.924200872438754,183.91508339924766
19,160.0,472.0,184.2198277853886,4.6671260170619435,184.99761468695237
20,168.0,472.0,185.10910542484015,5.658006523567708,185.91652886447582
21,176.0,472.0,185.7385348319166,4.429488442780325,186.61656645294838
22,184.0,472.0,186.64945058639447,4.10456495618896,188.1018976105232
23,192.0,472.0,188.55475829774133,3.6367126032149906,189.34031329832757
24,200.0,472.0,187.32439364321183,3.730793306921078,188.67935792540234
25,208.0,472.0,188.62236529631133,3.2412788346178054,189.2713620422931
26,216.0,472.0,188.58904627256385,3.9453755857084403,189.82019750532532
27,224.0,472.0,188.42682680660002,4.232527173289122,189.70324230544242
28,232.0,472.0,188.44508141667117,3.349879670637897,189.50188175504476
29,240.0,472.0,188.50012182402233,2.768027904154677,189.62227692068765
30,248.0,472.0,187.12674806608652,3.334276501684612,188.4156447681542
31,256.0,472.0,187.88289787936444,3.7330886392271876,189.25156673361073
32,264.0,472.0,186.99955509861027,3.4921434141837517,188.90007263307848
33,272.0,472.0,189.05439326217117,3.2619178266290465,189.74741993330713
34,280.0,472.0,188.65652236818121,4.512351528699719,190.57433298219655
35,288.0,472.0,188.9624087849299,4.293358435380649,190.5574142360164
36,296.0,472.0,187.7393165156767,4.090447307656783,188.7578230422096
37,304.0,472.0,187.54837514355762,3.6287136431006717,189.5203110495096
38,312.0,472.0,187.02478168091602,3.375109716320175,188.53215515370965
39,320.0,472.0,186.97641245592354,2.868992655452676,188.62615700787362
40,328.0,472.0,187.25645974022598,3.301834709082949,188.19855378097017
41,336.0,472.0,185.38679650646185,2.2149621916794264,186.30145992779265
42,344.0,472.0,184.38206923709745,2.5097180687848217,186.3498754909825
43,352.0,472.0,187.26619778804994,3.0436001721903234,188.59044540476307
44,360.0,472.0,187.14149623261815,2.7866364301668094,188.08519136304736
45,368.0,472.0,188.05730001630621,2.1263980983382704,188.73505656273508
46,376.0,472.0,187.25771153723633,1.436308985508794,188.83763621692094
47,384.0,472.0,186.47916490617442,1.5566707736009227,188.54737228373577
48,392.0,472.0,186.2403886994381,2.6302464799446352,188.2011349801017
49,400.0,472.0,185.63871878542338,2.0582194388441244,187.20757138157063
50,408.0,472.0,183.3432283305764,2.764874054365283,184.41736249082382
51,416.0,472.0,185.78603515621643,2.0446120573364874,187.01058773341566
52,424.0,472.0,185.97835772277506,2.4348030450378166,186.5804546014969
53,432.0,472.0,184.2397191431005,2.930606307180805,185.14616745685663
54,440.0,472.0,184.22468278039125,1.8830937877572902,185.19563863559878
55,448.0,472.0,183.86863515968838,1.9660446650511056,185.58421559505956
56,456.0,472.0,181.42770374120784,3.422285740602747,183.12745598284846
57,464.0,472.0,180.49054682056882,4.21919024013356,182.23118955994354
58,472.0,472.0,179.89402520189313,4.644046383842908,182.5069056288196
59,480.0,472.0,181.09623008137055,2.348279453448795,183.06733555075095
60,488.0,472.0,181.2216692404257,2.5937392842386955,182.77625608459635
61,496.0,472.0,179.05125765275048,1.5192124282384178,180.78453326628366
62,504.0,472.0,179.82312873426602,1.3675452749038144,181.80918993683034
63,512.0,472.0,179.19815392630147,2.37667988008169,181.92401972107135
64,520.0,472.0,177.8543765597857,2.4200080159909194,179.0276369126542
65,528.0,472.0,179.223584471109,2.1059609008713207,180.63390422074463
66,536.0,472.0,175.75010610128226,0.43219335044720375,178.28536849890244
67,544.0,472.0,178.9681691821226,1.1967943044514018,180.53113984154723
68,552.0,472.0,178.40034934361609,2.701174745887609,180.07370220767692
69,560.0,472.0,177.4678924055868,2.9649624016559897,179.07267867968855
70,568.0,472.0,179.2438695793459,2.067594735797578,180.59821435276348
71,576.0,472.0,177.59284361592773,1.4895719900509083,179.30917000773692
72,584.0,472.0,176.43662138368506,1.7650160023819716,178.14360152454185
73,592.0,472.0,175.45348835233685,1.812233757854823,177.36034341309832
74,600.0,472.0,173.43658615931136,0.6712066051424174,176.190754217954
75,608.0,472.0,173.4200471117726,0.9158543686764076,174.9604555190443
76,616.0,472.0,173.08597039828533,1.248509550813471,175.3165852697278
77,624.0,472.0,171.50342849563816,1.6282845158928576,173.89656169333102
78,632.0,472.0,151.82179729763243,2.875180710244784,158.6656294272055
79,8.0,464.0,152.0426283460559,4.78599789369659,153.26596186287992
80,16.0,464.0,150.10779753588764,4.531337526748649,151.57683851841657
81,24.0,464.0,153.66069732130134,5.444374820064067,155.30604231159296
82,32.0,464.0,161.01259210202952,4.9348777529422465,161.85379675635187
83,40.0,464.0,165.80186381448132,5.0162102621811115,166.90222756788185
84,48.0,464.0,168.29404127401247,5.6250014620966065,169.39337858162227
85,56.0,464.0,168.94934127674176,6.059006320156264,170.15818285496877
86,64.0,464.0,170.56638863756623,7.155786796267227,171.36434200293095
87,72.0,464.0,167.36746971510544,7.178457663530622,168.27922065497484
88,80.0,464.0,168.50489747473867,7.30955323414246,169.31743894965797
89,88.0,464.0,173.99096625531325,6.628281337824056,175.04794553656205
90,96.0,464.0,177.02308128309343,5.773847239449066,177.7356878383168
91,104.0,464.0,178.16065443674438,5.051100087840135,178.87031205411543
92,112.0,464.0,178.87812130681903,5.150740496062988,180.3754124927958
93,120.0,464.0,180.25737692885335,6.6240113804933864,181.39775279875275
94,128.0,464.0,180.58574764479144,6.469180040290535,181.318447105122
95,136.0,464.0,179.5999595512841,6.370600115403316,180.292074889143
96,144.0,464.0,178.91234480504582,7.667381514450347,180.29781392649573
97,152.0,464.0,180.9583440846704,7.185086282235711,182.56207125994354
98,160.0,464.0,184.17692111107954,5.678991808135441,184.94570035104485
99,168.0,464.0,184.2337455852685,5.539958012070954,184.981950899194
100,176.0,464.0,185.43812520020455,4.9785076928854295,186.4032817360887
101,184.0,464.0,187.1348346889827,5.044294987873604,188.10942425007678
102,192.0,464.0,187.5575050030139,4.318174293678478,188.68125414589323
103,200.0,464.0,187.1912869049154,5.217305884289574,188.32071464791113
104,208.0,464.0,187.46929184102513,5.07710155818857,189.2121703817924
105,216.0,464.0,188.10522063755073,6.23435541303965,189.00327817233688
106,224.0,464.0,188.94276810963333,5.825051577947065,190.08011504379058
107,232.0,464.0,188.51268479495042,5.254557425957586,189.15773386133193
108,240.0,464.0,188.82723209686554,3.9604871673623325,190.31897656189622
109,248.0,464.0,186.7608632818472,4.064990549644262,188.5336560072787
110,256.0,464.0,187.31238642167705,5.820659761789902,189.2274978111246
111,264.0,464.0,184.84727546663072,5.6746765336151235,187.72895358126218
112,272.0,464.0,185.98545608874701,4.514510255276601,187.3965621093505
113,280.0,464.0,188.30859565845805,4.553634828621371,189.70839942116473
114,288.0,464.0,188.79613035293352,3.4670474151280968,189.9570543281949
115,296.0,464.0,185.84387057406764,3.9872380162694077,187.53145860374698
116,304.0,464.0,186.72423369301512,4.889782727127396,187.44756635585097
117,312.0,464.0,188.14350266828794,4.846371650106679,188.87506976118073
118,320.0,464.0,185.9623297674109,3.572655594644017,187.34946517007586
119,328.0,464.0,186.5940586992049,3.0296184139938616,187.79672231693823
120,336.0,464.0,185.71007674911698,3.8324873070174807,187.00396448641376
121,344.0,464.0,185.34418760866077,5.277804028923125,187.09713787498836
122,352.0,464.0,187.60091519321233,4.941668022364059,188.55194157271006
123,360.0,464.0,187.41451727900355,3.5805410819448897,188.2926085093448
124,368.0,464.0,186.98503056100972,3.717842857021219,187.7285949526367
125,376.0,464.0,185.42694756357423,2.2182032632064073,186.68725847238937
126,384.0,464.0,185.63690630696163,3.062499174124917,187.1558441985687
127,392.0,464.0,185.60175929595587,3.9587741315256997,187.15081925609587
128,400.0,464.0,184.42598700907314,3.31477156563615,185.99838740627166
129,408.0,464.0,183.63666949482229,1.9763194259532952,185.5553807512369
130,416.0,464.0,182.1905579012443,1.3618733662811,185.0060990121813
131,424.0,464.0,182.82012562889787,2.899801058473713,183.69530745569028
132,432.0,464.0,182.6245998728949,3.856573304758551,184.02219433659684
133,440.0,464.0,181.61531547856427,2.813150489334574,183.67287172585813
134,448.0,464.0,181.8183648845568,2.9707060964736978,183.78326362083914
135,456.0,464.0,182.11116586641597,3.571169321125879,183.39921280010364
136,464.0,464.0,179.59969228051614,4.263705150598265,181.8671078039632
137,472.0,464.0,177.6040378214752,3.6502153545632634,180.99628907702007
138,480.0,464.0,177.24687191236382,4.91786951115322,180.61186680083932
139,488.0,464.0,177.75175488946562,3.292071309362475,180.2482659891725
140,496.0,464.0,178.36187023211178,1.6622679108956282,179.71654298079935
141,504.0,464.0,179.55220195843847,2.0539942618872558,181.05586500041463
142,512.0,464.0,178.76518568301282,3.850693801255175,181.32949702970447
143,520.0,464.0,177.879414868982,4.050191891464888,179.69744027293632
144,528.0,464.0,176.30190556452868,2.452601409462909,178.42410031987444
145,536.0,464.0,176.06115368092878,2.0702680112739533,177.33609219857203
146,544.0,464.0,174.50590150389436,3.0755024622481493,177.50007999649435
147,552.0,464.0,175.19649802070956,2.736372026108439,177.8381745124303
148,560.0,464.0,176.74759533844605,1.8041015817069421,178.7813739526699
149,568.0,464.0,177.08724758865503,2.104661707940739,178.96219494529686
150,576.0,464.0,174.41666140771943,2.822760802064621,177.43338814471926
151,584.0,464.0,174.0692406642137,1.5445772143752534,176.01151444727404
152,592.0,464.0,174.06931008815747,1.5817338698955659,175.9492513240714
153,600.0,464.0,173.07406575714938,2.8395057695473693,174.46389550044336
154,608.0,464.0,171.1351206273143,1.0193741870343023,174.1085249419969
155,616.0,464.0,170.92082531036846,-0.067004058223193,174.3855217102034
156,624.0,464.0,170.4694504279358,-0.05786398924241948,174.86334842442574
157,632.0,464.0,154.47542216650805,1.9850031440841582,159.45324497116547
158,8.0,456.0,153.53027623100363,6.955855624850619,155.44212621844434
159,16.0,456.0,153.7179584460338,6.369250416117879,155.27791447829313
160,24.0,456.0,158.14903591176125,6.380662652097359,158.98532405655519
161,32.0,456.0,161.0395416314087,7.41537791613058,162.12985082835445
162,40.0,456.0,163.87653862834654,6.451744963564545,165.13343446681947
163,48.0,456.0,168.5224738802256,7.893218110925558,169.4640855657395
164,56.0,456.0,168.52955853638386,8.211350725958463,170.02356632121834
165,64.0,456.0,169.98428193067465,9.07344534929941,170.9445008942893
166,72.0,456.0,164.95590619536114,9.50637738968137,166.03807609075903
167,80.0,456.0,166.13528131195798,8.636886097210281,167.01771616392378
168,88.0,456.0,171.84679909137728,7.997818852680343,172.6834113105171
169,96.0,456.0,173.47562430279964,7.205072000874473,174.99660002328653
170,104.0,456.0,173.7715932174312,7.325681044599796,175.55127065134172
171,112.0,456.0,177.4962890148246,7.196169396140713,178.50127339304265
172,120.0,456.0,176.86170385590611,8.262243338629126,179.05542867546527
173,128.0,456.0,178.58221729502102,8.219482647963229,179.77335288955098
174,136.0,456.0,178.8486643228681,9.23534894303306,179.93634476327244
175,144.0,456.0,180.8848184258798,8.621235485636568,181.7098968884258
176,152.0,456.0,180.7166643204102,8.606113549223679,182.61402107563725
177,160.0,456.0,182.605266575373,7.989290491595476,183.68877950675628
178,168.0,456.0,181.64794260682822,7.479339474432546,183.58603516937427
179,176.0,456.0,181.96856429459842,6.455982224256392,184.0276904117215
180,184.0,456.0,183.52265498837758,6.594003553925641,185.69158665629894
181,192.0,456.0,185.41709126846163,8.780321451816576,186.38184795296527
182,200.0,456.0,185.94544671957297,8.235327252093139,186.67022471678857
183,208.0,456.0,184.3830557252346,8.011903536432852,186.63228326838333
184,216.0,456.0,186.07029715563192,8.097223383475905,187.40551697526206
185,224.0,456.0,187.94322754460146,8.240563303584542,188.90287543913308
186,232.0,456.0,187.64241875002872,7.6173041673647965,188.53086136299353
187,240.0,456.0,186.16277768963542,7.667804452751484,187.14671652732432
188,248.0,456.0,184.73739455027396,7.386165583039839,186.03153230771292
189,256.0,456.0,184.4476076861553,7.6455562562649515,186.1693569633405
190,264.0,456.0,182.8155469048947,6.392676260619696,184.58804677761464
191,272.0,456.0,182.02095831938541,5.437141503397467,184.9000128248566
192,280.0,456.0,183.71329454778572,5.049769513689203,185.9951830331537
193,288.0,456.0,186.08758946854817,5.6923370273176115,186.84015647721415
194,296.0,456.0,185.1140392683256,5.791165951219635,186.5687425307672
195,304.0,456.0,186.17881907167833,6.624093591617371,186.91047814953012
196,312.0,456.0,185.8635391215737,6.3370121389582375,186.7878828538272
197,320.0,456.0,183.46716301648914,5.727025199159809,186.13061068679025
198,328.0,456.0,184.817893456571,5.151952461666145,185.59414563964546
199,336.0,456.0,184.57686169547094,5.180462968331551,186.0719061913868
200,344.0,456.0,181.99056501363887,6.2316137503978455,184.49722249963762
201,352.0,456.0,184.80797424586325,5.8391866279838105,185.9600449309873
202,360.0,456.0,185.85420444424983,5.2228266370104945,186.6992204291418
203,368.0,456.0,185.20011776119375,4.040123487824446,186.51212414503414
204,376.0,456.0,180.12813125120786,4.162408141812011,184.23167230916889
205,384.0,456.0,180.76649804636784,5.468090691526549,183.72870937398486
206,392.0,456.0,181.51851448604467,5.837926987177113,183.0972980141258
207,400.0,456.0,182.58673954583188,4.641589612698581,184.2193060861753
208,408.0,456.0,180.41540764623645,3.803828572477339,183.38363205610335
209,416.0,456.0,179.58318381855022,3.337151478183031,182.3756985626897
210,424.0,456.0,179.60475884960854,3.9922725663337104,181.37722843357528
211,432.0,456.0,179.38930167766287,3.873730581277482,181.1852794627913
212,440.0,456.0,176.6860007194981,3.8788511152998657,179.56309617009134
213,448.0,456.0,177.12135853297028,3.7065882996565453,179.4813538990399
214,456.0,456.0,175.341646653255,4.111761188720414,179.75766987212592
215,464.0,456.0,174.6240355143159,3.7441841224577574,179.42874264826287
216,472.0,456.0,174.8860159835883,4.459705186807985,178.20123285631996
217,480.0,456.0,176.44806631553232,4.87956858290381,178.71349797625672
218,488.0,456.0,172.70032793457892,4.900860212218009,175.3452326408578
219,496.0,456.0,174.62930539261967,3.309976440421434,177.19496319985268
220,504.0,456.0,175.98197832893572,4.572946432187466,178.2378898450451
221,512.0,456.0,173.4368065284418,4.551191892528534,178.52227123704523
222,520.0,456.0,173.1027239230714,4.7692211187959765,176.6659836316947
223,528.0,456.0,170.70128611427992,3.0313363415280414,173.59346054960935
224,536.0,456.0,172.5898585968417,3.1183275059356887,175.68691110380564
225,544.0,456.0,170.09742237923012,2.2075541616132615,174.70462440797243
226,552.0,456.0,169.54606997147624,1.6584996553662477,174.47502729107322
227,560.0,456.0,173.18365604723974,2.6014441871505145,176.69472305511437
228,568.0,456.0,172.3699711076178,2.599313868826366,175.11575271592127
229,576.0,456.0,169.4914151908892,3.0226971679153385,173.63038684091168
230,584.0,456.0,168.25963034085532,4.187402026196725,172.06311969729302
231,592.0,456.0,171.8087238009178,3.0824224073399367,174.29437485595102
232,600.0,456.0,172.4466204490337,2.080651987503957,175.0535836100135
233,608.0,456.0,168.2237435346761,1.5208745717401395,171.3542653283077
234,616.0,456.0,168.48616891436257,0.8336987406873784,171.21176154569395
235,624.0,456.0,166.64466559390544,0.651553569703452,169.82763131563632
236,632.0,456.0,149.83615171259189,2.3085477292157566,156.60507037908317
237,8.0,448.0,155.47162429777518,7.448785420642986,158.06857470375903
238,16.0,448.0,156.76861566642776,7.4928082322166984,158.36238456940745
239,24.0,448.0,160.02780986571955,8.383463925379916,160.98078232036227
240,32.0,448.0,163.23944259493092,8.024086949639225,164.20995299784178
241,40.0,448.0,165.07864464258049,8.288662560390023,166.25274863550305
242,48.0,448.0,166.31587392469248,9.215729063519692,167.96104000802418
243,56.0,448.0,168.1463161694641,8.461942135878992,169.61233662144394
244,64.0,448.0,169.96528915098077,9.734062095040255,171.24747362527708
245,72.0,448.0,166.67886450610206,9.28980561732898,168.6847845583665
246,80.0,448.0,168.14283922936633,9.113704077432136,169.38150719170616
247,88.0,448.0,172.16461145371997,9.640274654661402,173.0533323823717
248,96.0,448.0,172.3631847973142,9.668045586222764,173.62795132894757
249,104.0,448.0,171.27104512343124,9.156367383736832,173.32312791087583
250,112.0,448.0,174.44475118095417,9.710786038034536,175.57622171238265
251,120.0,448.0,175.91808541235585,9.423085625221448,177.5397886182605
252,128.0,448.0,177.2481446053245,10.281936897820417,178.70702484394081
253,136.0,448.0,179.43130226566822,10.220659261214134,180.66970891070287
254,144.0,448.0,179.69695419230536,10.204507527192908,180.64867347068542
255,152.0,448.0,179.71879844065293,10.144587230831991,181.1574381705299
256,160.0,448.0,180.23657943505083,10.488867097177632,181.73990485887137
257,168.0,448.0,180.35763932730967,9.456763851826254,181.94574306160484
258,176.0,448.0,181.48269636104865,9.398332420253322,183.33843267089725
259,184.0,448.0,182.3011319277218,9.227337476128955,184.8651383235143
260,192.0,448.0,183.16218323657185,9.161101110740134,184.6906111161615
261,200.0,448.0,183.07386905176017,9.360076645762536,185.20960532211956
262,208.0,448.0,184.04486281732744,9.217399597275374,186.05717425221147
263,216.0,448.0,184.2152122900099,9.876136664577464,186.0752858745818
264,224.0,448.0,184.38053566021154,8.405869570585478,186.60558117677556
265,232.0,448.0,184.51334555766036,7.466247573024215,185.9641056178559
266,240.0,448.0,184.00437069412547,8.30978759276105,186.267192848426
267,248.0,448.0,182.70589057142902,8.83175305732275,184.8718239636005
268,256.0,448.0,182.34898117408966,8.321759250503385,185.10597939153678
269,264.0,448.0,179.53494141883274,7.728672462760974,182.36125659835153
270,272.0,448.0,179.81701354139634,7.27226320564143,184.73002859983526
271,280.0,448.0,179.42164433892825,6.438461267734444,183.55333335494646
272,288.0,448.0,184.70942298392416,7.901089370488439,185.99192851337085
273,296.0,448.0,183.86308884045556,7.16525027894025,185.5000226992808
274,304.0,448.0,185.3662769947391,7.535630582443641,186.9384310759156
275,312.0,448.0,185.3425807230497,7.103135111094274,186.78330981216195
276,320.0,448.0,182.65461819953447,6.813098961648656,184.46514847914327
277,328.0,448.0,182.1990160554189,6.715537312010984,183.86720330563483
278,336.0,448.0,183.2657869693749,7.742338888700613,185.37307864373528
279,344.0,448.0,181.43783534378176,6.530980230214058,184.2587260121481
280,352.0,448.0,182.42049193467605,5.439157332227649,185.22553304452637
281,360.0,448.0,182.02612601170048,5.582046006222114,183.93828095351955
282,368.0,448.0,180.867397576361,6.5520082654428435,183.3431719349559
283,376.0,448.0,179.92106261725172,5.738918597424474,184.11779633906355
284,384.0,448.0,178.28101751890767,5.867121742511674,181.86112364411767
285,392.0,448.0,179.2800820798996,6.477612826621136,182.28087336839994
286,400.0,448.0,178.2251673959415,4.188756471622193,181.77160462746053
287,408.0,448.0,172.73063998006572,4.356330133970582,178.22649358921925
288,416.0,448.0,176.59154520683654,5.400260289425083,179.5739607639072
289,424.0,448.0,177.03553740970534,5.259787800047083,180.87974108862048
290,432.0,448.0,178.0035621193191,4.300595667060614,180.70648877636796
291,440.0,448.0,175.91390376454748,3.8711154029689268,177.98775794817317
292,448.0,448.0,173.84522771457685,3.7189449108410333,175.73681042992877
