,Mean RMS
145,-14.387067359129524
146,-27.49552191712608
147,-15.2732285370877
148,-20.31120428777458
149,-17.550604439601454
150,-19.905434561886278
151,-20.39198968244307
152,-9.997341885813713
153,-21.891483248091614
154,-13.57852036176107
155,-26.141733135806223
156,-13.115242687775853
157,-28.48084204952012
158,-13.215107331777098
159,-11.185907664528115
160,-20.27830602004527
161,-11.884606479192817
162,-8.85710763114845
163,-38.456624031727834
164,-11.370065338200796
165,-16.55616032489988
166,-32.032242092704315
167,-34.40662174571676
168,-16.952722634552725
169,-21.26409620436759
170,-20.128513546399358
171,-26.63826676153151
172,-24.36818812129507
173,-8.60769799226059
174,-17.059651479856136
175,-12.820611130771324
176,-20.672502440594318
177,-26.19730181352876
178,-6.985819402017074
179,-11.025953575436343
180,-19.11742786236592
181,-13.293241596174152
182,-19.05177676522881
183,-23.31732978943164
184,-28.1300693590657
185,-25.834098569114186
186,-19.47252413495678
187,1.015163266110617
188,-23.109920880543935
189,-13.134168142650823
190,-28.477293711139158
191,-10.390418895509885
192,-25.992231796566415
193,-4.078230299637136
194,-10.042658265664745
195,-16.715931351113003
196,-42.35010446129986
197,-37.47764096643608
198,-47.02738746807894
199,-43.169679187752756
200,-26.757653512092226
201,-40.41319896206468
202,-27.084085579462837
203,-11.25655422587213
204,-29.447230460998902
205,-19.156713734688406
206,-20.920093318594034
207,-22.38581297303073
208,-35.19493028458846
209,-14.23457846769647
210,-39.78334253083829
211,-5.1983232499078
212,-25.175279727305217
213,-28.078378673413777
214,-6.76771643342037
215,-15.82319957451452
216,-28.800974823054425
217,-34.328176971450524
218,-37.94104509749972
219,-9.379395733508392
220,-17.573364159688772
221,-36.25477299840388
222,-54.56764491133316
223,-18.819115785755418
224,-34.05155620194574
225,-18.03981926263523
226,-19.752116846814648
227,-32.27525743006676
228,-19.21485910504895
229,-10.253221848801644
230,-14.712166567348545
231,-21.14164914048003
232,-14.806960909021743
233,-27.939654430231514
234,-24.349054502460437
235,-21.243527723177294
236,-24.55247759896249
237,-25.024429956558222
238,-11.68440589604308
239,-10.48552041309657
240,-20.739151013653764
241,-17.930185829133904
242,-11.945327852164592
243,-21.969499508247786
244,-13.373238350414633
245,-14.844384696323752
246,-13.336632778178922
247,-26.172425254502127
248,-29.323714865834244
249,-14.96963027288885
250,-7.966008814747942
251,-24.638319710541197
252,-17.060335121529256
253,-14.729129064544022
254,-19.950961589580174
255,-4.990638983165182
256,-24.5477046556975
257,-29.383138088086405
258,-19.04621919928221
259,-11.634070662736303
260,-32.43937836958394
261,-19.490484112478015
262,-5.4635622458392685
263,-13.658209895177324
264,-10.487214935080386
265,-17.24102542747968
266,-2.485720923135697
267,-33.16816116033194
268,-3.874128180557711
269,-10.519093536836229
270,-38.58364737153761
271,-20.706068133263194
272,-21.511627488879164
273,-19.903361819714164
274,-21.925007533892177
275,-23.109527526793574
276,-11.815699839136489
277,-20.16561650890312
278,-49.8908596867185
279,-11.326273891479207
280,-21.631658346252472
281,-5.55478134170326
282,-26.333581438732818
283,-42.95865721513292
284,-46.02536342583067
285,-25.42942776465412
286,-5.814689184806533
287,-14.172316729463933
288,-17.777802356493094
289,-8.961771236785646
290,-12.957397687778833
291,-6.009793976850782
292,-9.869350345533908
293,3.880864848934037
294,-15.94239844592459
295,-9.394189618501784
296,-24.418355633809956
297,-17.444258900450023
298,-22.419803932607596
299,-21.612594230005428
300,-13.615565008109453
301,-32.900583993353244
302,-26.821456610505383
303,-7.468937421899107
304,-22.752034066602207
305,-9.213759755659094
306,-11.213923582655276
307,-31.300316474349245
308,-14.154525718838716
309,-11.438762792778787
310,-23.09261416600697
311,-8.643562848634605
312,-1.06280294975021
313,-13.524684185269935
314,-26.702072423101882
315,-26.730407107831212
316,-9.570634004824042
317,-23.7633640703275
318,-40.81038169440694
319,-15.352967695760002
320,-18.645980310961903
321,-27.74151566051187
322,-11.167992563931847
323,-9.238790149092802
324,-41.410736365721114
325,-10.30252160370835
326,-15.143596909749087
327,-31.362294474614842
328,-18.768922041971543
329,-6.45738162316364
330,-13.077538925364491
331,-3.2628089009315926
332,-7.221766002314377
333,-20.613483645980175
334,-26.481117631853056
335,-13.927167354198012
336,-10.098883317120137
337,-8.264623080395252
338,-8.738674650172284
339,-15.66705422112273
340,-13.577860566062528
341,-18.992042596908114
342,-8.36050428770587
343,-4.183471551241754
344,-33.62652428818964
345,-35.32162643370409
346,-20.749325844216926
347,-18.135660739127722
348,-10.586460119049399
349,-11.725970176835661
350,-19.961418409312493
351,-9.057405243432306
352,-10.571017487634496
353,-4.713222413663424
354,-16.264327431689193
355,-27.628587141899775
356,-12.813152415256525
357,-17.91269626293454
358,-16.15069776824762
359,-25.84970578719317
360,-15.118991284858946
361,-16.179467920063846
362,-7.824542887709622
363,-31.87184310515136
364,-22.00910141756091
365,-18.117035777692006
366,-9.819514121521854
367,-2.5140091173615082
