,Mean RMS
217,-8.913036762540072
218,-3.5615569774429843
219,-14.56031496526872
220,-8.279627900086542
221,-6.711153509038422
222,-16.64423773720394
223,-10.85924391816856
224,-10.373031688359179
225,-19.399107719718295
226,-19.541452093741153
227,-3.7425101971427797
228,-1.8036183798636283
229,1.1235701852579174
230,-4.653551767549621
231,-9.836812239077332
232,-13.92966541499512
233,-13.765238802819171
234,-15.026496767932095
235,-13.890681524868205
236,1.051780700492552
237,-12.62497019111287
238,-6.784137733303982
239,-8.230057893123163
240,-2.2758679558354626
241,-14.7170305900043
242,4.844076801854143
243,1.5373391146474789
244,8.864456681631426
245,1.3926862370610298
246,-3.0347819872083126
247,7.357120364694909
248,9.890969030836281
249,-3.7833244670732626
250,9.742335887360023
251,5.353302048866952
252,3.277347073998123
253,5.859451498679707
254,9.99286833186116
255,6.055821416705113
256,7.956793231620032
257,10.387914555844885
258,15.090120541682868
259,6.332594909879713
260,11.625724567895151
261,12.218569327416105
262,6.827566086274454
263,13.548760578782256
264,7.479801524149436
265,1.6223130323274513
266,4.350571398118761
267,-5.706652060751471
268,-5.456907073267963
269,-15.71427297573699
270,9.399100873145757
271,-8.32983546283676
272,-7.389926501823882
273,3.487771013047284
274,4.725154493228313
275,-2.5637968719473703
276,-1.7733614232488353
277,1.1191808337938245
278,3.1113467750769903
279,1.9800842271403027
280,-7.7357891648612735
281,-0.9593711485427897
282,-8.966658835345164
283,8.262760163711796
284,5.523437493155805
285,-1.2971219136643664
286,1.6305340955072338
287,2.137568917297889
288,0.3684489806730507
289,-8.91736846117236
290,2.8437993275126834
291,0.8513736655330022
292,-1.867497583932414
293,-0.45079915512579694
294,8.678931373243529
295,6.528913564863829
296,7.8750620021636655
297,5.121620200400744
298,-6.668339798865137
299,-2.739353524100392
300,11.16953201648982
301,11.92968431568188
302,-8.871291856513828
303,0.03596608771852038
304,9.01789397960754
305,-0.34017210418977223
306,11.021297301215858
307,-1.6742376934748322
308,-7.087380940933997
309,2.0779465971784905
310,5.225131727921213
311,2.2664905142811915
312,-8.015012420806686
313,-17.622626771516746
314,6.682454804507979
315,0.050581142211300924
316,-3.2960402807365967
317,4.4032519762678355
318,-5.194994008685253
319,2.4176279803210283
320,6.326165030398956
321,-3.202894422276092
322,3.6994085806796275
323,-6.5185726794411485
324,-14.648003226526658
325,-15.064380916134049
326,-2.11792759864746
327,4.044475460491145
328,-2.420689466168704
329,-6.629728658287293
330,-2.5787109563449113
331,-6.480566290069921
332,-2.2095989004579595
333,-2.927154768099238
334,5.770322398117377
335,-9.860301196116449
336,-3.214381276748272
337,0.9101440246794686
338,-7.345200393012698
339,8.548808156371017
340,6.673070945495139
341,-3.0677431047050745
342,2.0842917885724694
343,-9.032119346723201
344,0.8272965262927832
345,-25.643766466451197
346,-5.981503668561475
347,-5.6899949789691
348,-7.975653557414786
349,4.667066958362618
350,-14.880639977845975
351,-15.852672938850029
352,0.44521128063801413
353,-1.623040941913011
354,0.32456322094617474
355,-21.282736201752805
356,-11.335106023864327
357,-9.741789606841632
358,0.3906103437274847
359,-15.879052875401191
360,-5.735331803395325
361,-8.487353491934925
362,-8.745504275585493
363,-8.635946795580066
364,-20.451826539999576
365,-6.458107427432277
366,-12.290729521324698
367,-16.822657737138638
368,-10.28605097953419
369,-13.86150238804643
370,-7.648225845970479
371,-5.685165084808492
372,-9.45702307602893
373,-12.601733944593153
374,-15.643751671514286
375,-3.1561260279332917
376,-10.128726541656986
377,-0.17636972183061456
378,-11.704290102710189
379,-20.136345115941097
380,-12.231012480054199
381,-5.3830209073715265
382,-22.65553306180205
383,-11.861567303343387
384,-9.840721821633835
385,-17.141174749836285
386,-8.02698075837226
387,-16.80497414621523
388,-13.117757604178774
389,-7.91376924993053
390,-23.20988939859703
391,-12.951864997665913
392,-2.447473302689348
393,-6.799535290528366
394,-7.03520198844543
395,-29.519882075237746
396,-11.818642108141486
397,-15.076494341088786
398,-13.393689253591996
399,-6.630500495577995
400,-1.8448971662779337
401,-15.704043488703682
402,-13.980311889259383
403,-16.365355113478355
404,-8.471648978008126
405,-4.323716210813899
406,-14.15161757084284
407,-12.059611321336924
408,-11.288032734810683
409,-7.398931378333729
410,-17.567158559180506
411,-13.556466257199617
412,3.722789373998814
413,-30.7754603592879
414,-0.11996733930118919
415,-0.71075365275612
416,-35.0876453571252
417,-3.182829524435772
418,-8.26941525910574
419,-7.679744346191685
420,-7.971941002151262
421,-3.128567480412535
422,-4.341650032010515
423,-3.997083342321186
424,-17.04816068768278
425,-7.661661680628423
426,-5.025894373762567
427,-2.8454520187773595
428,-12.894934116960071
429,-20.045924399070643
430,-7.012414365753824
431,-5.08796607085038
432,-6.82662314920113
433,0.018487148719369864
434,-12.003492746281179
435,-7.911516889531087
436,-11.615639575477909
437,0.3329842681700565
438,5.01105314928036
439,0.938375615565522
440,-18.57907353113489
441,0.10860235207795514
442,-4.920352716096501
443,-2.6490293563642333
444,0.5263625203670216
445,-8.929202585895263
446,-3.3040844634875626
447,-1.5101386317028591
448,-10.25455855847101
449,-18.720745159096666
450,-2.6358516911015477
451,-3.4080944613724387
452,-10.300520829998906
453,-15.005902669734944
454,-6.364123404031281
455,-15.084499951708908
456,-8.903156548503558
457,-7.455138947637288
458,-0.16035929903559817
459,-9.443408972957535
460,-2.4542843835619403
461,-6.940390253876097
462,-7.118149968555224
463,-6.953182286014386
464,-5.458521968051181
465,-5.671812865514995
466,-11.864407510487776
467,0.85991923544619
468,-0.18703770179807305
469,-9.004969982983981
470,-8.274570604522749
471,-10.913781633629812
472,-10.068615594533833
473,-4.677828824179184
474,-4.580019824969256
475,-3.6324628130024728
476,-16.993795251943713
477,-0.6835296056852825
478,-7.662940669391783
479,-24.005452191660304
480,0.014085502787906875
481,-11.665127134038592
482,-6.354566048739491
483,-12.275146760621952
484,-12.069053651313986
485,-9.7961591681531
486,-11.543831619820967
487,2.8700092963109674
488,-6.302770058674054
489,-1.893537080618496
490,0.409313661764822
491,-10.14944108851026
492,-7.181394864260247
493,-0.6509400837263396
494,-3.7365493245748236
495,-16.388240011639684
496,-5.257097336583217
