,Mean RMS
121,1.3490820096815561
122,2.83740880501543
123,-22.439443131201834
124,-24.124042146704035
125,-18.19851552379311
126,-1.9307286376656574
127,-2.357782194994525
128,-2.778735946223513
129,-11.530821244659325
130,-37.38965775692965
131,-10.478805889491264
132,-7.311244661467838
133,-23.0782697189348
134,-6.056296372251456
135,4.185441163727097
136,-11.376058453998196
137,-28.578839689218217
138,-18.24901789497727
139,-12.936441294887258
140,1.265676541501858
141,-1.7702250928009131
142,-12.882010823314904
143,-54.19953264320308
144,-32.475247897752695
145,-16.435698995666513
146,-11.44328339222321
147,0.19704885434189043
148,-5.549715759605577
149,-8.122028625478736
150,-18.43941314715239
151,-45.51950877840054
152,-43.63576784275019
153,-32.67024010024877
154,-6.795483845606962
155,-14.274658131995375
156,-43.37041643452401
157,-38.20199881142204
158,-39.019166062620386
159,-19.073726325396795
160,-11.833276846991998
161,-12.191707214322829
162,-6.425408191648742
163,-11.357267529123087
164,-28.17921883737518
165,-12.81039286124032
166,5.319593475568175
167,-19.884126162421772
168,-22.861127708108878
169,-9.828260693949883
170,-14.451678764228667
171,-21.76569808447318
172,-3.148689275601657
173,-2.6674461049876785
174,-9.646257712220054
175,-13.149791996464998
176,-13.285233657669561
177,-38.90797838526764
178,-11.046167337353342
179,-11.344039473278176
180,-18.22451372831722
181,-8.574300740139162
182,-2.576672664947412
183,-10.858166981587908
184,-6.5038546567960305
185,-22.758381926212426
186,1.5676161548747034
187,-2.8686938228047145
188,-6.155932906405534
189,1.8653986700812657
190,-16.516185049565106
191,-26.7714284628995
192,-24.507613226934264
193,-6.625230215473624
194,-5.098665474915572
195,-6.356715582476603
196,-15.996624627089146
197,-0.2212869106098027
198,-15.33901386648228
199,-11.141823482032168
200,-5.007245408594272
201,-0.7444052263294283
202,-4.921208193724073
203,-32.98835343639073
204,-25.00785678481831
205,-5.668507799336102
206,-16.244217186067374
207,-7.016890077310561
208,-9.910684860089862
209,-22.700160407250728
210,-37.23510973367115
211,-10.193998256932652
212,-16.379428555069303
213,-7.795836618819862
214,-3.9860389155592504
215,-2.28982577701147
216,-17.365179542094232
217,-59.76124116361572
218,-21.098375774916423
219,-15.182779538416817
220,-16.761008381311893
221,-6.533281498453138
222,-25.940427223521908
223,-34.29170694786372
224,-42.140742033669625
225,-23.545169760911435
226,-4.342414167819114
227,-32.4942900843366
228,-19.859453525979955
229,-16.97525970744067
230,-20.480479937606724
231,-1.451268203248598
232,-6.817924196030122
233,-12.836494342859433
234,-10.828625159326137
235,-41.8163567670475
236,-10.626764293764856
237,-15.966680347799967
238,-23.842455527504516
239,-12.401693685378302
240,-3.0095362004898427
241,-20.62773410106443
242,-25.842181397722666
243,-33.80188724324286
244,-7.6591223150472905
245,-11.806327407784858
246,-3.532824738125448
247,-5.931247560338388
248,-29.41558856288869
249,-5.077020094878254
250,-0.4293081671054565
251,-27.59534101763961
252,-6.72788665120569
253,-3.2402429303357425
254,-12.803649512898513
255,-14.606327734660434
256,-10.704049747244396
257,-6.331733450755393
258,-10.550095221047828
259,-14.377599948820121
260,-2.2822361228956916
261,-13.36162089851354
262,-8.763411573330169
263,-8.864763650468287
264,-14.072212435759111
265,-6.284747674054251
266,-3.4640889646959647
267,-40.64690915190704
268,-13.483961350546041
269,-6.1457206177306265
270,-6.456998523944134
271,-11.789325038141891
272,-14.903638404126177
273,-16.43120915315222
274,-7.556129739993726
275,-23.370477972161584
276,-36.32364966659536
277,-7.558957118089238
278,-24.63260959492121
279,-0.8361430625564984
280,-20.644174145596743
281,-42.69843047662368
282,-22.52557339242444
283,-10.987247446725567
284,-9.699693273376667
285,-22.12671085242953
286,-10.692745153384939
287,-26.28705292670909
288,-23.041797769847665
289,-16.897603726601773
290,-13.83604806474962
291,-16.594246301645736
292,-14.681017005358669
293,-20.19975417365544
294,-12.992631701679295
295,-4.071362108924024
296,-10.74560584670216
297,-3.0388468128414017
298,-16.008120552926638
299,-14.194128578096484
300,-24.422570020293758
301,-20.823484978571297
302,-6.567232684245106
303,-16.557613843158464
304,4.5240031935013825
305,-5.158529907850129
306,-20.412573867081584
307,-24.40595612236753
308,-7.0891309856810105
309,-10.352818563775095
310,-8.816439674667189
311,-11.261607629700103
312,-30.727807454304955
313,-41.39164581212172
314,-12.374173320247515
315,-20.786548830012276
316,-1.9481452578468297
317,-3.6080965085269403
318,-4.32043377969473
319,-45.045530113916634
320,-35.90113359617886
321,-35.715068923853366
322,-5.101983175434251
323,-2.3903451456287903
324,-0.6049127302384617
325,-19.067022821515273
326,-28.506563005578645
327,-15.957277306447473
328,-1.202854796104118
329,-0.9127319015819021
330,-5.4964803515459595
331,-5.0960277334401916
332,-23.841889080277188
333,-43.58183558075404
334,-7.494966474522248
335,-8.121083006268327
336,-5.951957118747469
337,-11.848338039803505
338,-18.022844985177045
339,-16.9576312480501
340,-11.582455348283574
341,-12.60881074648508
342,-7.862542844772482
343,3.9614537585856917
344,-8.260147180628563
345,-20.270988347086227
346,-11.125630105117704
347,-13.61529641289463
348,-3.6953581805889106
349,-3.2833448334834086
350,-7.31778699047586
351,-16.92947224071308
352,-34.890910569248994
353,-22.47573486101522
354,-9.143084874106755
355,-19.003941342992686
356,-7.510246728576405
357,-47.71102688442529
358,-43.856622523020654
359,-26.73082470491182
360,-10.358239873739036
361,-0.35843511094841113
362,-11.86916645152733
363,5.225442393262206
364,-40.671975596796436
365,-46.14835831536903
366,-2.418120285171911
367,3.0866480531653875
368,-5.302432193111142
369,1.4737287709205034
370,-21.14780529647243
371,-37.062958123105005
372,-6.379938689633634
373,-9.62614435437226
374,-1.994753085392922
375,3.04208770956179
376,-5.5671438664118895
377,-12.068883510716697
378,-15.380722835790687
379,-7.415610141935778
380,-8.9941168936096
381,1.0578423859130386
382,-0.9535035821550706
383,-10.015716545685997
384,-26.051951575892414
385,-2.9515149655497095
386,1.9900405091206244
387,-21.164693693365088
388,-19.201271862395405
389,-37.74976989360277
390,-40.937945847500465
391,-10.768237066381287
392,-5.08641511717426
393,-6.335616788517497
394,-1.4761027009241656
395,8.898297361503456
396,-34.37803308961607
397,-22.107449087988456
398,-22.33396783181646
399,5.091779872789635
400,-12.995727939503977
401,-6.38326398967981
402,-31.564590330649605
403,-47.22286384662537
404,-37.19452625981308
405,-11.076664786958506
406,-17.37051794249041
407,-14.256405816784085
408,-42.56300330644522
409,-21.71881477953242
410,-17.78063630176875
411,-25.59605872426405
412,-23.3713910214071
413,-11.816929880060275
414,-34.23588393475538
415,-25.530157119258366
416,-9.825611968228227
417,-17.005013909626616
418,-6.9262097766513
419,-14.778168493496521
420,-8.688691826809412
421,-20.152118059184737
422,1.593919478001528
423,-9.196319507335044
424,-3.0498844890243055
425,-6.7610849212588064
426,-5.703706825381999
427,-10.563863563037922
428,-5.043061049151491
429,-25.415737460742424
430,-33.98743377027283
431,-2.7724598930042053
432,10.71095428631003
433,3.306436076308475
434,-43.70384492908233
435,-13.256297687720895
436,-13.640812030433281
437,-1.5805545477513303
438,-7.789821236035926
439,4.914002436699937
440,-16.34169890908514
441,-3.778248649710357
442,-16.70291556495458
443,1.1866938189166614
444,-10.871231336735876
445,-2.1484295286623953
446,1.6468657257330317
447,-10.070639310713275
448,-23.82259102169184
449,-26.815089454539546
450,-2.437416539355305
451,-0.7484833845291922
452,1.284704334054633
453,6.4239175741102255
454,-39.07099723395845
455,-22.4591359211651
456,-17.57535825382507
457,0.7625127492502071
458,6.545569708985674
459,-1.0290935765214966
460,-13.19515570185069
461,-36.23811848610894
462,-7.379752839866433
463,1.1369511593905206
464,-1.5558020929627894
465,-7.601026284911484
466,-19.321921471941806
467,-8.416094136290523
468,-18.86295706706307
469,3.3543751059035016
470,2.6959526821356103
471,-7.149010060303403
472,-1.8207622535063277
473,-24.212525422207758
474,-43.32757825774454
475,-12.290262449039927
476,-5.708099332908551
477,-0.2626365136747144
478,0.6228403585425322
479,-17.125024097757787
480,-19.957363585118316
481,-14.641511918344671
482,-12.72386063590647
483,-1.3417766612022424
484,-7.906727084866422
485,-19.863303084463006
486,-28.58213861507182
487,-10.972876063957987
488,-23.783746750587238
489,-14.883951068553667
490,-8.843220139916545
491,-9.995047543327187
492,-15.125828611852368
493,-27.265081902228445
494,-13.081080193966951
495,-19.627556062399403
496,-0.8467371251339681
497,-3.0082055929257434
498,-10.686486391970167
499,-3.8513955263946946
500,-11.321986598868875
501,-23.06703402727718
502,-11.979332474221476
503,3.5672538790022905
504,-17.22803554774581
505,-41.01914003643865
506,-0.37647565950331774
507,-20.57048983627752
508,-1.0044082430245753
509,4.729911082759946
510,-21.957735196729207
511,-15.451791594375402
512,-21.932308616603343
513,-23.506734773163807
