0 deg AoA
Port #	Dynamic	Surface
 	Pressure	Pressure
 	In H2O	In H2O
Port #	Dynamic	Surface
 	Pressure	Pressure
 	In H2O	In H2O
1.000	2.451	0.833
2.000	2.454	0.052
3.000	2.448	-0.125
4.000	2.452	-0.196
5.000	2.450	-0.248
6.000	2.453	-0.280
7.000	2.456	-0.282
8.000	2.453	-0.269
9.000	2.452	-0.254
10.000	2.451	-0.228
11.000	2.453	-0.203
12.000	2.459	-0.179
13.000	2.455	-0.153
14.000	2.453	-0.122
15.000	2.451	-0.092
16.000	2.452	-0.063
17.000	2.451	-0.033
18.000	2.451	-0.014
-6 deg AoA
Port #	Dynamic	Surface
 	Pressure	Pressure
 	In H2O	In H2O
1.000	2.417	0.259
2.000	2.422	0.392
3.000	2.422	0.143
4.000	2.419	0.027
5.000	2.418	-0.062
6.000	2.422	-0.114
7.000	2.421	-0.136
8.000	2.424	-0.146
9.000	2.419	-0.146
10.000	2.418	-0.134
11.000	2.415	-0.123
12.000	2.420	-0.110
13.000	2.414	-0.094
14.000	2.415	-0.072
15.000	2.418	-0.049
16.000	2.416	-0.021
17.000	2.418	0.014
18.000	2.422	0.043
-8 deg AoA
Port #	Dynamic	Surface
 	Pressure	Pressure
 	In H2O	In H2O
1.000	2.397	-0.467
2.000	2.394	0.632
3.000	2.390	0.348
4.000	2.395	0.207
5.000	2.395	0.090
6.000	2.396	0.022
7.000	2.392	-0.021
8.000	2.395	-0.051
9.000	2.395	-0.066
10.000	2.393	-0.067
11.000	2.395	-0.070
12.000	2.396	-0.069
13.000	2.389	-0.064
14.000	2.394	-0.055
15.000	2.394	-0.045
16.000	2.396	-0.031
17.000	2.393	-0.010
18.000	2.392	0.020
-10 deg AoA
Port #	Dynamic	Surface
 	Pressure	Pressure
 	In H2O	In H2O
1.000	2.375	-1.143
2.000	2.378	0.763
3.000	2.370	0.481
4.000	2.379	0.334
5.000	2.378	0.201
6.000	2.380	0.123
7.000	2.377	0.068
8.000	2.372	0.022
9.000	2.373	-0.003
10.000	2.376	-0.014
11.000	2.375	-0.027
12.000	2.378	-0.037
13.000	2.379	-0.040
14.000	2.377	-0.040
15.000	2.371	-0.040
16.000	2.375	-0.036
17.000	2.376	-0.025
18.000	2.378	-0.003
-12 deg AoA
Port #	Dynamic	Surface
 	Pressure	Pressure
 	In H2O	In H2O
1.000	2.378	-0.197
2.000	2.375	0.696
3.000	2.375	0.423
4.000	2.377	0.263
5.000	2.379	0.134
6.000	2.379	0.043
7.000	2.376	-0.009
8.000	2.375	-0.061
9.000	2.378	-0.092
10.000	2.380	-0.114
11.000	2.381	-0.129
12.000	2.383	-0.155
13.000	2.382	-0.179
