"Iteration: Iteration","Drag in X Monitor: Force (N)"
1,9183.3232635871609
2,5675.9042496671937
3,3222.1941443392789
4,1865.4185067584121
5,1174.6490972832205
6,715.69720808932186
7,442.50550285743395
8,290.92858981551814
9,237.0917898573766
10,214.66093400497533
11,251.67424813134824
12,242.77275565961679
13,232.21544569511832
14,221.1069715573135
15,211.53676906466012
16,204.37910309567445
17,199.16821867113811
18,194.59692436517207
19,191.39509420523808
20,187.82274069246057
21,184.06949477652699
22,179.52907424687993
23,175.08188391248868
24,170.94001999967998
25,167.28680264503615
26,163.86517093678628
27,160.56673491104718
28,157.35369462978258
29,154.39767665160767
30,151.29579843706404
31,148.30923521522439
32,145.23081927635073
33,142.15204083132187
34,139.05958314034618
35,135.9120937118536
36,132.76327657282491
37,129.56193059026745
38,126.25996051893401
39,122.96407032324205
40,119.63537523657246
41,116.34342868909263
42,112.98653953920407
43,109.65837022741621
44,106.64898086113013
45,103.03123080575719
46,100.17282794206395
47,96.660730765987353
48,93.936119203753947
49,90.916330033640264
50,87.988202160652918
51,85.115389400680016
52,81.995152669245869
53,79.701312412832408
54,77.255638201330981
55,74.516926579092313
56,72.575831222648162
57,70.109041328402526
58,68.404364462701096
59,66.509508405197209
60,64.716406581105076
61,63.047427704261509
62,61.596951917204933
63,60.336453689854352
64,59.504863794534401
65,58.332749991306571
66,57.705985466263485
67,57.103360687665059
68,56.609983129091802
69,56.36463332183024
70,55.93280763693673
71,55.852231607472476
72,55.883684061740695
73,56.155357483693024
74,56.242365676972469
75,56.705350659267907
76,56.941537338814584
77,57.397635923151796
78,57.764762952738209
79,58.118888150056904
80,58.478973859475445
81,58.85799223847377
82,59.218948648213455
83,59.550991926698202
84,59.842380395593466
85,60.133489368817635
86,60.362280878754945
87,60.538460851644771
88,60.669890972331359
89,60.761303527324827
90,60.82631610710564
91,60.849959896594527
92,60.819805172521995
93,60.78536710053578
94,60.681032022971266
95,60.568615831924092
96,60.370954657270914
97,60.157057423237575
98,59.958471560729379
99,59.763731374539731
100,59.545212165614942
101,59.295369962811776
102,59.027053178812679
103,58.760085856204086
104,58.49430373392147
105,58.226944683434454
106,57.952200049930298
107,57.686760328290006
108,57.414902210425907
109,57.15680369172776
110,56.892065765606162
111,56.626602802891
112,56.362974433873546
113,56.098124899292884
114,55.837984711243337
115,55.596775492518361
116,55.334788927220416
117,55.062662933200215
118,54.801872201467802
119,54.541232367756209
120,54.281171095383513
121,54.009310190797805
122,53.74635115232752
123,53.482418236593332
124,53.214427999756992
125,52.941819289283671
126,52.673378331900722
127,52.396439100224427
128,52.114671778293086
129,51.831710833088266
130,51.558377549575539
131,51.257173479898654
132,50.994608014266646
133,50.701673579994292
134,50.419441689840085
135,50.144513201613734
136,49.871983013796068
137,49.601049902127215
138,49.33234702587481
139,49.075704372076359
140,48.817754051567022
141,48.565527821802391
142,48.322065702341376
143,48.088544333675543
144,47.865276310326749
145,47.651791733157609
146,47.449001239883557
147,47.257437165504939
148,47.076503473744765
149,46.90611834072854
150,46.74599937234143
151,46.596884406449874
152,46.458554606132907
153,46.330734830719507
154,46.213255085406956
155,46.105900924471428
156,46.008042224615338
157,45.919329384627588
158,45.839310657072929
159,45.76801808414649
160,45.704331015805565
161,45.648237932883376
162,45.599536569854649
163,45.555396676764531
164,45.517191442445892
165,45.485200200226984
166,45.456982196007061
167,45.433768251933145
168,45.415152257584339
169,45.405625703768294
170,45.383317003219418
171,45.380932019204579
172,45.36437633676428
173,45.358950120139241
174,45.355982522169143
175,45.353655086438437
176,45.35014748456075
177,45.34669762929127
178,45.343178585614908
179,45.339323003387335
180,45.334874095746216
181,45.326910505106241
182,45.321476137725938
183,45.315227673595246
184,45.307871913724739
185,45.301834353797972
186,45.291016048980737
187,45.275722057352709
188,45.260023059132095
189,45.243788526159449
190,45.226571918637831
191,45.209397266118685
192,45.189574643695323
193,45.167916018792312
194,45.147786764364298
195,45.113489580815724
196,45.097556988307701
197,45.070060217372998
198,45.040427019977358
199,45.011223078888065
200,44.982123501662045
201,44.952648358576255
202,44.922893772756822
203,44.892345967063704
204,44.861204307747698
205,44.829663784900617
206,44.797768374866735
207,44.76581444942218
208,44.733673490875958
209,44.701787640704708
210,44.669213545031027
211,44.639058167212397
212,44.605983858236129
213,44.572887873232276
214,44.539929269531285
215,44.507460530729475
216,44.475195877005774
217,44.442996701966308
218,44.410829197105329
219,44.378673898295006
220,44.346532466389419
221,44.314419639325536
222,44.28236081850622
223,44.250289337791969
224,44.217072447905139
225,44.185341253630497
226,44.154083146437131
227,44.122024988200735
228,44.089663166578589
229,44.05729488604203
230,44.024762486989857
231,43.992153157599034
232,43.956635946917629
233,43.931344438335486
234,43.893023120529335
235,43.865969957022685
236,43.827424984403137
237,43.80009108959041
238,43.761770907180733
239,43.734400815685433
240,43.696330267195833
241,43.669060192509392
242,43.631322387226476
243,43.604289528895151
244,43.56704414887389
245,43.540319949930108
246,43.50369399305464
247,43.47334071269222
248,43.44381187441968
249,43.41393346221588
250,43.383661280722777
251,43.353363370216528
252,43.323854134115493
253,43.293931137850052
254,43.264372728108413
255,43.235285682197116
256,43.20668393148668
257,43.178544626451469
258,43.150845667594297
259,43.123568929862245
260,43.096696965455294
261,43.070291909766183
262,43.044609182243789
263,43.021671179779901
264,42.991008748545198
265,42.968578637321343
266,42.942415501133098
267,42.916553164329002
268,42.890926403211267
269,42.86691598591915
270,42.843202639832327
271,42.820195932821377
272,42.795221930950788
273,42.772132120287722
274,42.749304725900004
275,42.726473647142711
276,42.703695657031346
277,42.680995656666255
278,42.658409246963231
279,42.635935417579105
280,42.613570237263446
281,42.591333028543886
282,42.569202940835112
283,42.547177545677243
284,42.525240223617971
285,42.503413151769053
286,42.481694553933494
287,42.460089130698577
288,42.435954827302112
289,42.418883164390138
290,42.394778717122165
291,42.376877331634148
292,42.352662531140993
293,42.331961821408527
294,42.312050297306428
295,42.291498543802163
296,42.271024489723686
297,42.250536532157014
298,42.230080199465306
299,42.209709579483501
300,42.189457586417461
301,42.169333890529913
302,42.149348567220102
303,42.129506966069073
304,42.109809065689774
305,42.090253968830609
306,42.070847486564901
307,42.051593443756929
308,42.032509278105636
309,42.01357857854191
310,41.994794259675416
311,41.976153494914797
312,41.957657405354951
313,41.939306664499497
314,41.921097158818441
315,41.903028747821736
316,41.885101363901242
317,41.867320671852838
318,41.849689840275232
319,41.83221518188742
320,41.816247169820599
321,41.796234755332478
322,41.781339738737586
323,41.764064905179396
324,41.746687258255008
325,41.72983241850153
326,41.713411087457587
327,41.697245704681166
328,41.681267343206116
329,41.665459666877268
330,41.649814332797973
331,41.634331015775899
332,41.619011350144945
333,41.603867241434727
334,41.588892792409865
335,41.57408765027651
336,41.559446928456794
337,41.544968328294374
338,41.530647806275681
339,41.516483092405792
340,41.502515595586488
341,41.488646729474851
342,41.474927346415029
343,41.461359784033164
344,41.447944782239631
345,41.434678203772762
346,41.421557238074968
347,41.408589986644927
348,41.395609326159217
349,41.382901659891729
350,41.370365180848978
351,41.357960541187936
352,41.345668629951717
353,41.33352579215574
354,41.321509374830441
355,41.30963495727417
356,41.297908543769267
357,41.286327949883912
358,41.274876081273703
359,41.263562183763099
360,41.252381862926882
361,41.241352606708801
362,41.230451641860611
363,41.219705803321403
364,41.209063948895277
365,41.198560355596044
366,41.188196014262758
367,41.177963454109431
368,41.167839772873322
369,41.15785991402123
370,41.148000062003916
371,41.138260529211834
372,41.128621088275963
373,41.119089257902317
374,41.10965378210949
375,41.100334402616852
376,41.091121979042612
377,41.08201906580075
378,41.073008451877286
379,41.06410797941993
380,41.055304562137053
381,41.046606218831641
382,41.037999678664903
383,41.029497442471552
384,41.0210845421106
385,41.012773017048119
386,41.004547797845191
387,40.996421248013348
388,40.988378562120488
389,40.980432190207978
390,40.972566130036
391,40.964794867527814
392,40.957102105695697
393,40.949501666225672
394,40.941990632458783
395,40.934555878284812
396,40.927209805995517
397,40.919952200583339
398,40.912779492161064
399,40.905688490672276
400,40.898677814433483
401,40.891746334124377
402,40.885010530009652
403,40.878194385851657
404,40.87145734749646
405,40.864815328911277
406,40.858268015222961
