"Iteration","Drag in X Monitor: Drag in X Monitor (N)"
1.0,4353.545907354182
2.0,2786.2906997201667
3.0,1658.3642444260731
4.0,996.1740032676939
5.0,631.0434709012289
6.0,389.53949133037963
7.0,242.68216066196698
8.0,161.07736013823035
9.0,120.11591743244365
10.0,114.13080910355205
11.0,103.0268723430592
12.0,101.69604790124848
13.0,99.15090293495341
14.0,96.24256413361071
15.0,93.06071384578213
16.0,90.04514866209027
17.0,87.42028562150597
18.0,85.0253280616416
19.0,83.23231685783173
20.0,81.58649752999509
21.0,79.77228232007556
22.0,77.68899501970704
23.0,75.66976889476274
24.0,73.7752995620522
25.0,71.93572503162946
26.0,70.27038840090066
27.0,68.67328705273881
28.0,67.22398869317465
29.0,65.70908847635798
30.0,64.24955828542934
31.0,62.83829153523476
32.0,61.436329074701575
33.0,60.06915823395886
34.0,58.65034813374842
35.0,57.26593731684234
36.0,55.848962042598174
37.0,54.42106964304321
38.0,52.96317326149273
39.0,51.49441353167305
40.0,49.99831031786549
41.0,48.50213175230975
42.0,47.00623525798714
43.0,45.635445858228024
44.0,44.14645507744186
45.0,42.66020495737848
46.0,41.19437129904203
47.0,39.741346941673754
48.0,38.33659662678538
49.0,36.93576319499823
50.0,35.591779972999845
51.0,34.12148293378813
52.0,33.04860074825207
53.0,31.707413074257772
54.0,30.70388295840158
55.0,29.44017553517935
56.0,28.43773916991212
57.0,27.642473283198115
58.0,26.557141546075542
59.0,25.849248870145303
60.0,25.08481611159158
61.0,24.34976026250392
62.0,23.678476998504763
63.0,23.114875541857003
64.0,22.74116910693266
65.0,22.24551296890961
66.0,21.9725992977762
67.0,21.630284737902926
68.0,21.476693138043004
69.0,21.36131395701247
70.0,21.2537404278865
71.0,21.239051295516816
72.0,21.288955937467577
73.0,21.315894263858382
74.0,21.468763970583296
75.0,21.526575750610334
76.0,21.773782430790405
77.0,21.945686741845947
78.0,22.123588735367676
79.0,22.301025665023033
80.0,22.482299480973268
81.0,22.65609577143178
82.0,22.81955145893771
83.0,22.989330190302695
84.0,23.137250600282997
85.0,23.27750229752489
86.0,23.39864931033901
87.0,23.518397341934076
88.0,23.60040248662402
89.0,23.679757454138823
90.0,23.73546155459202
91.0,23.75783123860404
92.0,23.76277696233271
93.0,23.76456845057966
94.0,23.717084126365933
95.0,23.63208820304972
96.0,23.57185421359786
97.0,23.482365063254377
98.0,23.35031505002314
99.0,23.211041145453493
100.0,23.06600014264356
101.0,22.903037648364432
102.0,22.725779396038007
103.0,22.532954807935056
104.0,22.330446159095573
105.0,22.114747485906705
106.0,21.892463501701272
107.0,21.666111883248604
108.0,21.4314965385321
109.0,21.195288705205897
110.0,20.954722621726575
111.0,20.713025385906818
