"Iteration: Iteration","Drag in X Monitor: Force (N)"
1,3091.5501236334871
2,1990.6340907088927
3,1263.8715599638344
4,792.38271214120743
5,487.16982653573257
6,295.44513649961959
7,178.25656123575044
8,112.30006877890081
9,77.474617911027565
10,61.682418400273129
11,53.330164271233159
12,47.521840040244982
13,43.040561010077269
14,39.352602210658965
15,36.348210958161253
16,33.988563177661973
17,31.817143066926132
18,29.444270795430079
19,27.339437503047993
20,25.006779712195332
21,22.850337691266933
22,20.851120867867905
23,19.053850407491776
24,17.483868182696988
25,16.151220446604984
26,14.984755115712186
27,14.058323662819415
28,13.199827933315845
29,12.494192624777522
30,11.876346422928455
31,11.321106573448244
32,10.859386708118517
33,10.40103268605262
34,10.026974202904899
35,9.6545026585849012
36,9.3455544872933043
37,9.0216998570828704
38,8.7631361367890612
39,8.4902581925751193
40,8.2742407165099738
41,8.0444697895287192
42,7.8668964618423294
43,7.6896114667384463
44,7.52531811813689
45,7.3783008388103788
46,7.2427132498947753
47,7.1176905562336534
48,7.0013660349519586
49,6.8941912140945965
50,6.7948660455238539
51,6.702375720027919
52,6.6159667106794657
53,6.5357663775348591
54,6.4600632855437494
55,6.3887270582080919
56,6.3235796281651693
57,6.2639170725246327
58,6.2092854881746993
59,6.1665414758892938
60,6.1130820767682126
61,6.0763051202751859
62,6.0324319200595111
63,6.0028096783087008
64,5.9742573550708347
65,5.9479633470897557
66,5.9286573400654019
67,5.9021482150681308
68,5.8881438956132399
69,5.8744917348905332
70,5.8587770015583924
71,5.8476040616669405
72,5.8337784307451379
73,5.8230443425458063
74,5.8088474527560869
75,5.7967325005241417
76,5.781849137282193
77,5.7670303722509662
78,5.7514674883971626
79,5.7358616639087643
80,5.7198899479217911
81,5.7033408367327105
82,5.6861243255494438
83,5.6681415374574922
84,5.6494581576162943
85,5.6303092652701441
86,5.6109575295540255
87,5.5913890019917307
88,5.5716787407936419
89,5.5520300112995624
90,5.5326078537440271
91,5.5135250226318426
92,5.4949049857500221
93,5.4767143444193458
94,5.4590750573671549
95,5.4421332385022065
96,5.4255779570067695
97,5.4099718483803008
98,5.3952714575884606
99,5.3815227024276844
