"Iteration: Iteration","Lift in Y Monitor: Force (N)"
1,4257.182939090344
2,2811.5459634525655
3,1574.8690703826269
4,886.11319969501449
5,711.02095247803197
6,585.66076560234444
7,516.20865707358701
8,490.11355926971078
9,510.88664694040858
10,562.66050203028487
11,615.42915558957475
12,655.27546058766495
13,685.68099276116664
14,708.41677904668757
15,719.47956889807085
16,741.44646341470138
17,759.97563061471578
18,776.42456799348997
19,792.49986304461845
20,814.28909961032525
21,825.70166611773243
22,843.74848849144064
23,859.62401910585641
24,874.86119027644122
25,889.91438953525153
26,906.25086962047249
27,916.8678911142639
28,931.52563533094769
29,943.55457534606978
30,955.26914440330461
31,966.82080624723994
32,978.1044369640673
33,988.77934440130309
34,999.22476597828427
35,1008.9888523435543
36,1018.2324859497425
37,1026.9859709335437
38,1035.1853386231146
39,1042.9456793027061
40,1050.3212058096055
41,1057.241771226137
42,1063.631834418477
43,1068.877108481877
44,1075.508115602066
45,1080.0728861461132
46,1085.0135355710684
47,1089.5574230595007
48,1093.636580022378
49,1097.254046445724
50,1100.4577079389185
51,1103.2103368439793
52,1105.5704800992185
53,1107.6151824581652
54,1109.2996746948575
55,1110.6730552097117
56,1111.760210817529
57,1112.5774943791444
58,1113.1376264530015
59,1113.4645309952102
60,1113.5787603745621
61,1113.652744835769
62,1113.6371949443571
63,1113.4984171345716
64,1113.2760487160328
65,1113.1022906540766
66,1113.0205513363637
67,1112.9289528044371
68,1112.9323340525805
69,1113.0875444895416
70,1113.2688838369606
71,1113.9608492410568
72,1114.2277461136377
73,1115.2842159355948
74,1116.0141078289198
75,1117.2975735169812
76,1118.4869548714287
77,1119.7534872247152
78,1121.17267125184
79,1122.7546208013471
80,1124.4855562485895
81,1126.3544814262864
82,1128.7580624038926
83,1130.3499801692619
84,1132.8967220143509
85,1134.6711451813449
86,1137.4700712453857
87,1139.7602708364007
88,1142.1053607096317
89,1144.5093821306923
90,1146.9619142731719
91,1149.4362688846306
92,1151.9254393468891
93,1154.3871100984068
94,1156.798979575261
95,1159.2163864448498
96,1161.7817386041102
97,1163.8389566110425
98,1166.1671347970623
99,1168.4637792033479
100,1170.6900145308405
101,1172.852916756234
102,1174.9530872399016
103,1177.0081388655915
104,1179.0214598785874
105,1180.9708510824187
106,1182.8717567423453
107,1184.7299034145781
108,1186.5452587320397
109,1188.0993856042057
110,1190.118541297154
111,1191.6147170366044
112,1193.2691071008453
113,1194.9467435936474
114,1196.5794311463942
115,1198.1483884330964
116,1199.6611208125739
117,1201.1407133146845
118,1202.5885316173062
119,1204.0045339255341
120,1205.4067498439413
121,1206.7598297075649
122,1208.0820503736622
123,1209.3770546211847
124,1210.6470215184117
125,1211.8921870541999
126,1213.1063592812764
127,1214.2988981853389
128,1215.4640762276945
129,1216.7603136859561
130,1217.6796672035944
131,1218.7127929829553
132,1219.9255912800122
133,1220.8016416877579
134,1221.7659155302408
135,1222.7566478384585
136,1223.718523254885
137,1224.6391906484273
138,1225.5191248098672
139,1226.3711934632802
140,1227.1956124991232
141,1227.9890610399482
142,1228.7572477366514
143,1229.4998396175376
144,1230.2184560705221
145,1230.9126126847571
146,1231.5840950815411
147,1232.2326430128082
148,1232.8599506004916
149,1233.4636794200887
150,1234.0479382909298
151,1234.6153970687446
152,1235.1666580055801
153,1235.7028619578873
154,1236.222901942522
155,1236.7284454043117
156,1237.2211953406925
157,1237.7034039016146
158,1238.1742085456845
159,1238.635455530168
160,1239.0883564946548
161,1239.5352480991417
162,1239.9762405966439
163,1240.4129685333892
164,1240.8458711782057
165,1241.2752840278333
166,1241.7017722222829
167,1242.1265375173869
168,1242.6059387708326
169,1243.0123856122179
170,1243.4113163414138
171,1243.8207383971987
172,1244.2395284388303
173,1244.6629158994294
174,1245.0877100946379
175,1245.5127477216404
176,1245.9378258349236
177,1246.3631754777973
178,1246.7893724721339
179,1247.2196730451503
180,1247.6815319096925
181,1248.0567677586873
182,1248.5197829691679
183,1248.9035733635699
184,1249.37027786052
185,1249.7543225044203
186,1250.2199003383864
187,1250.602317356864
188,1251.06488068711
189,1251.4443082995915
190,1251.9029964030019
191,1252.2798045471966
192,1252.7330002565143
193,1253.1051469630067
194,1253.552588063176
195,1253.9196552712529
196,1254.3599699410793
197,1254.7208954864589
198,1255.1533515702868
199,1255.5351729693341
200,1255.8880130360608
201,1256.3115487289845
202,1256.6554480043455
203,1257.066403765228
204,1257.4009492942243
205,1257.8033186091654
206,1258.1290856869191
207,1258.4921472048004
208,1258.8515853520246
209,1259.2023421365632
210,1259.5460072708609
211,1259.8840917439488
212,1260.2173255994776
213,1260.545763861825
214,1260.8695192139094
215,1261.1886839370225
216,1261.5030730931787
217,1261.8127684454596
218,1262.1178350813793
219,1262.4183678190518
220,1262.7144403337873
221,1263.0059296599347
