"Iteration: Iteration","Lift in Y Monitor: Force (N)"
1,16386.897010162978
2,9863.5729355196854
3,4807.0457730144299
4,2509.7801652611743
5,1854.4103952656001
6,1432.7289018827328
7,1204.38102155567
8,1135.1962437568254
9,1164.2641404951587
10,1466.9249769550831
11,1509.300547976907
12,1656.9214562443394
13,1690.1111379763406
14,1717.0098327367079
15,1758.3080896262816
16,1784.7058935419761
17,1830.2042677017319
18,1873.4750283570006
19,1924.6323565917537
20,1966.5604872200979
21,2002.6409359468989
22,2035.9470259499622
23,2069.9602856155466
24,2102.9416900063206
25,2133.2653996720051
26,2162.0686421902424
27,2189.4637529537049
28,2215.1990969705867
29,2239.0475056682494
30,2261.5171429375923
31,2282.9053732848724
32,2302.9196686759083
33,2321.7680794021048
34,2338.6910333698661
35,2354.8778140681934
36,2369.4206989892145
37,2382.3587567822674
38,2393.8429956694004
39,2403.9694382623884
40,2412.7315410276187
41,2420.4516104134068
42,2426.9977936969267
43,2432.0928924585451
44,2436.8961166466779
45,2440.756975092027
46,2443.4682551218411
47,2444.8538310466133
48,2445.4603772987198
49,2445.4456941918734
50,2444.2007536772776
51,2441.9899833992054
52,2439.9505477053312
53,2436.7685127904192
54,2434.0910312500082
55,2429.613492342572
56,2425.5335643615881
57,2422.3850826145108
58,2416.7169827942166
59,2412.6244219169339
60,2408.0180358463349
61,2402.9230015301491
62,2397.9326826259339
63,2393.0302668764816
64,2389.6793886935352
65,2384.250006669969
66,2381.0936441862418
67,2376.3874841933898
68,2373.8047763433001
69,2371.1429786127078
70,2367.4908038804392
71,2366.5006709453214
72,2363.7737118469931
73,2363.2111846668945
74,2361.7354217468505
75,2361.5571539434095
76,2361.4317986391657
77,2361.912143702134
78,2362.667410078353
79,2363.5572234476381
80,2364.614501433703
81,2365.8538289427761
82,2367.2457799820922
83,2368.8257428598413
84,2370.6198234113099
85,2372.6978269088595
86,2374.8268701615825
87,2377.0171262120625
88,2379.3002604674657
89,2381.486904991531
90,2383.8649152903126
91,2386.7437342490548
92,2388.4277651729576
93,2391.0295845559517
94,2392.6224840402651
95,2394.8604436356504
96,2396.2600644389613
97,2398.2218072187634
98,2399.4836764546358
99,2400.8172785678289
100,2402.0317797728144
101,2403.0467729151665
102,2403.8134226806078
103,2404.5250443562873
104,2404.9957274398075
105,2405.2474365606231
106,2405.2352869345063
107,2405.2084945759611
108,2404.787139947483
109,2404.417557610283
110,2403.9510808346176
111,2403.3640843644962
112,2402.5915991907982
113,2401.7134999147142
114,2400.753438293309
115,2399.7043969491515
116,2398.5935586761984
117,2397.3576927881609
118,2396.1726427452763
119,2394.91664102919
120,2393.8813372623554
121,2392.3312437484956
122,2391.1020086506992
123,2389.3344998424509
124,2388.0911513355813
125,2386.7096403378023
126,2385.27174951695
127,2383.690779280063
128,2382.0241829334009
129,2380.4678802789331
130,2379.0019540432995
131,2377.5462755776493
132,2375.6194050116715
133,2374.1880530149829
134,2372.9763405183653
135,2371.7277756146882
136,2370.5597333415017
137,2369.4393992264067
138,2368.27439034491
139,2367.2048620691294
140,2366.1412045181037
141,2365.2645479550124
142,2364.4693849417663
143,2363.9383703735461
144,2363.1827030595396
145,2362.6027866153649
146,2362.3379635156834
147,2361.9948108148815
148,2361.9034615378819
149,2361.7958932193101
150,2361.899189716793
151,2362.0692747008302
152,2362.3459238540549
153,2362.734705905636
154,2363.4176994274817
155,2364.2117786986437
156,2365.0992568126221
157,2366.1241330846406
158,2367.2833133023905
159,2368.5875327773233
160,2370.0411258643599
161,2371.6440257270433
162,2373.3676787399277
163,2375.3574160972594
164,2377.4607546753077
165,2379.7113318456759
166,2382.4853043752573
167,2384.5020185446333
168,2387.4470496719914
169,2389.7197915287347
170,2392.9822083657741
171,2395.8910162578695
172,2398.85796975331
173,2401.9908213602394
174,2405.1358254024008
175,2408.4209355447629
176,2411.6662996003665
177,2414.9140980824013
178,2418.2430921566192
179,2421.5768184772683
180,2424.8825192550726
181,2428.1994700292721
182,2431.5031545700217
183,2434.7496023033405
184,2437.9918649146657
185,2441.2051755986695
186,2444.3018172160832
187,2447.4985602638531
188,2450.5996207542785
189,2453.6550086836542
190,2456.6709654023934
191,2459.6467481542209
192,2462.5710809757784
193,2465.4385766410719
194,2468.2786495984737
195,2471.0594734180208
196,2473.8160141889111
197,2476.5062712523172
198,2479.116335573844
199,2481.6701447544974
200,2484.1615244646828
201,2486.5957546390564
202,2488.9689738975221
203,2491.2769092740532
204,2493.5420149879301
205,2495.7264150693832
206,2497.8440102257227
207,2499.9133412802366
208,2501.9117907769623
209,2503.8565911823516
210,2505.7656447915192
211,2507.6235129839138
212,2509.4304398339978
213,2511.251559279925
214,2513.0481618462914
215,2514.8103481197104
216,2516.5463188151507
217,2518.2655146597681
218,2519.9760752405432
219,2521.6768261209982
220,2523.3833113842802
221,2525.0683041866755
222,2526.7587321799369
223,2528.4516614360923
224,2530.1611709230037
225,2531.8720068764173
226,2533.6018312642368
227,2535.3435687712026
228,2537.0715237616746
229,2538.8243326409274
230,2540.5867066039509
231,2542.381582419192
232,2544.1515636240656
233,2545.9249519872865
234,2547.7017684300458
235,2549.4808399356971
236,2551.2428869204641
237,2553.0776325073516
238,2554.824995712866
239,2556.5646901573587
240,2558.2968929037738
241,2560.0212352145095
242,2561.7183065316458
243,2563.3941120658201
244,2565.0499355212901
245,2566.6843878143354
246,2568.2990978627713
247,2569.8941546894725
248,2571.47261688355
249,2573.0364831087163
250,2574.5874958192589
251,2576.1276321338923
252,2577.6577133988872
253,2579.1795928476695
254,2580.6951768492127
255,2582.2046140841062
256,2583.7062726071931
257,2585.2001271874033
258,2586.695814327154
259,2588.1837448178162
260,2589.6606804607227
261,2591.1288980819336
262,2592.5794549209572
263,2594.0155787966501
264,2595.4446007512624
265,2596.8639894536818
266,2598.262436177481
267,2599.6543133829964
268,2601.0372360433817
269,2602.4143124454945
270,2603.7868073152895
271,2605.1451941436453
