"Iteration","Drag in X Monitor: Drag in X Monitor (N)"
1.0,4287.45568025702
2.0,2728.532195491013
3.0,1696.6347803867134
4.0,1040.3345989260122
5.0,651.5649846708505
6.0,392.2026252120324
7.0,235.7054450050497
8.0,144.6946211422647
9.0,103.58930574996566
10.0,87.33836413096141
11.0,80.19611794581309
12.0,74.3281737638572
13.0,68.96426454793937
14.0,63.96729096563729
15.0,59.893609180016846
16.0,55.85982852643045
17.0,53.06251139427565
18.0,49.66616547664272
19.0,46.71550652927795
20.0,44.00174571684704
21.0,41.44042178369506
22.0,39.11227015385036
23.0,36.834196624691415
24.0,34.72185446117481
25.0,32.89113714396054
26.0,31.345923128522525
27.0,30.004661039310605
28.0,28.856296661886827
29.0,27.848558936937813
30.0,26.92876380590675
31.0,26.091717456920684
32.0,25.34513837641134
33.0,24.616325358418447
34.0,23.941668864569408
35.0,23.322435052510535
36.0,22.732376410757155
37.0,22.17114326370235
38.0,21.61530501920729
39.0,21.093234112852517
40.0,20.57752333318834
41.0,20.082006831860117
42.0,19.60716484353258
43.0,19.182068630198263
44.0,18.695442694268664
45.0,18.31074444238862
46.0,17.89780082859864
47.0,17.505797431481255
48.0,17.12851744593283
49.0,16.76505728474871
50.0,16.415497025621406
51.0,16.076433713595126
52.0,15.75997178432719
53.0,15.44952129564528
54.0,15.153945008720953
55.0,14.872912476584139
56.0,14.607710666591858
57.0,14.359870350345602
58.0,14.126760498979673
59.0,13.91035348392582
60.0,13.744014838102867
61.0,13.517740351730318
62.0,13.376059229504296
63.0,13.196671707559501
64.0,13.086601115744095
65.0,12.952186683332911
66.0,12.871199122797172
67.0,12.79447134762608
68.0,12.72667145685933
69.0,12.669688945182243
70.0,12.635130872247027
71.0,12.592798437461461
72.0,12.574290352816792
73.0,12.564921040063505
74.0,12.553732697820008
75.0,12.56060272366689
76.0,12.56158522646593
77.0,12.558814742081195
78.0,12.55613263889164
79.0,12.553975518583217
80.0,12.552068631342014
81.0,12.547899619508907
82.0,12.540564961888183
83.0,12.53288245247831
84.0,12.512664249291676
85.0,12.492127502218514
86.0,12.467507824311399
87.0,12.439824684937898
88.0,12.409127418948565
89.0,12.373377043702439
90.0,12.332236568535835
91.0,12.289160124993222
92.0,12.245023495219156
93.0,12.197829896480197
94.0,12.148622033956023
95.0,12.096608083790809
96.0,12.045604933454925
97.0,11.994751798742659
98.0,11.944578924181545
99.0,11.894070264182888
100.0,11.843983566922464
101.0,11.795013961233654
102.0,11.746602551239821
103.0,11.69977841470443
104.0,11.65447940278026
105.0,11.6106109580976
106.0,11.568959187970137
107.0,11.525360403557833
108.0,11.48914489204367
109.0,11.450533866748907
110.0,11.41414580831252
111.0,11.380227315732403
112.0,11.346791799438032
113.0,11.313210710712537
114.0,11.279972889227967
115.0,11.247391719838774
116.0,11.21491981319815
117.0,11.182714302647792
118.0,11.152102705822136
119.0,11.12195157420029
120.0,11.091839942165917
121.0,11.061647113970151
122.0,11.03137502928389
123.0,11.000946990789561
124.0,10.970277549628548
125.0,10.939684822522906
126.0,10.908539786804226
127.0,10.877554586307498
128.0,10.846608371435632
129.0,10.815338239917008
130.0,10.784035718553845
131.0,10.752696202203936
132.0,10.72139695734632
133.0,10.690258520096164
134.0,10.658846671511677
135.0,10.627346014305315
136.0,10.596099795208143
137.0,10.565085417136945
138.0,10.534360401081836
139.0,10.503962442682267
140.0,10.47394168506113
141.0,10.444331624478037
142.0,10.41529972866282
143.0,10.386867048239546
144.0,10.359279193136496
145.0,10.331943647603802
146.0,10.305297109257177
147.0,10.279503679692978
148.0,10.25452369337751
149.0,10.230483066445109
150.0,10.207278448122159
151.0,10.184919526240432
152.0,10.16346796891374
153.0,10.142943849121504
154.0,10.12335536748337
155.0,10.104703583696526
156.0,10.08697888903156
157.0,10.070171741783831
158.0,10.054260787960366
159.0,10.03922593965461
160.0,10.02505833144657
161.0,10.011734800023948
162.0,9.999222974576917
163.0,9.987489170366551
164.0,9.976490034373828
165.0,9.966175919000598
166.0,9.956497337938085
167.0,9.947405800792382
168.0,9.93887412550163
169.0,9.930828820265258
170.0,9.922892548911232
171.0,9.915984688979101
172.0,9.909013568294114
173.0,9.901954043374534
174.0,9.895856632514988
175.0,9.89006318664821
176.0,9.884429477861623
177.0,9.878901074386828
178.0,9.873470833945312
179.0,9.868120792097706
180.0,9.863237425472281
181.0,9.857513462471104
182.0,9.852519815002196
183.0,9.847026858833082
184.0,9.842270819646949
185.0,9.836894716942496
186.0,9.83211822104095
187.0,9.826674323099375
188.0,9.821881998350943
189.0,9.816428499952703
190.0,9.81160073751899
191.0,9.80607743518038
192.0,9.801215195373349
193.0,9.79568426938581
194.0,9.790787179859933
195.0,9.78525232145945
196.0,9.780342384905989
197.0,9.775126767436827
198.0,9.769749519068043
199.0,9.764463719976355
200.0,9.759261996054597
201.0,9.753845212774731
202.0,9.74911846935219
203.0,9.74391744786282
204.0,9.739094726385648
205.0,9.73389705234936
206.0,9.729075227533336
207.0,9.723963838273459
208.0,9.719209510310083
209.0,9.71419490204083
210.0,9.709258674544149
211.0,9.704633553665335
212.0,9.700028847839604
213.0,9.69539036234367
214.0,9.690753054144942
215.0,9.68614839249306
216.0,9.681587701965366
217.0,9.677072534282868
218.0,9.672601870154445
219.0,9.668174657698263
220.0,9.663789030777703
221.0,9.659443274048439
222.0,9.655136706573145
223.0,9.6508693015288
224.0,9.646641124935488
225.0,9.642452137486757
226.0,9.63830283799662
227.0,9.63419370307395
228.0,9.630123994501574
229.0,9.626093793876858
230.0,9.622103733187824
231.0,9.618154797768007
232.0,9.614247204616774
233.0,9.610380533027858
234.0,9.606554570323574
235.0,9.602770427421756
236.0,9.599029297359962
237.0,9.595332372276907
238.0,9.59167955744924
239.0,9.588070657874198
240.0,9.58450555285566
241.0,9.580985129947987
242.0,9.577510148188392
243.0,9.574081897336555
244.0,9.570701410854664
245.0,9.567368796523343
246.0,9.564084753540257
247.0,9.560849171485884
248.0,9.557661852556517
249.0,9.55452332019103
250.0,9.551433550556947
251.0,9.548393244754621
252.0,9.545402798125291
253.0,9.542462705974177
254.0,9.539685518227188
255.0,9.536726437541414
256.0,9.53380373793268
257.0,9.53122553084578
258.0,9.5284777384834
259.0,9.525854973550317
260.0,9.523214079659663
261.0,9.520721415422472
262.0,9.5181850952542
263.0,9.515791663888617
264.0,9.513362721027512
265.0,9.51105682831393
266.0,9.508696673974356
267.0,9.506477623290348
268.0,9.50420325971864
269.0,9.502070124006668
270.0,9.499874755869776
271.0,9.497819496654174
272.0,9.49569650928521
273.0,9.49371283612972
274.0,9.49165694039808
275.0,9.489739269916612
276.0,9.487745417685744
277.0,9.485888669201945
278.0,9.483942762910367
279.0,9.482143145224875
280.0,9.480263000905403
281.0,9.478515543415963
282.0,9.4766837205301
283.0,9.474981842965374
284.0,9.473196161256503
285.0,9.47153749770455
286.0,9.469795915389827
287.0,9.468178001870378
288.0,9.466478237509286
289.0,9.46489841387434
290.0,9.463238418510862
291.0,9.46169424368566
292.0,9.460073173367373
293.0,9.458561912290744
294.0,9.45697753747724
295.0,9.455499268854144
296.0,9.453951486069716
297.0,9.452504475825933
298.0,9.450991695089208
