"Iteration","Lift in Y Monitor: Lift in Y Monitor (N)"
1.0,7049.5766909500035
2.0,4406.866225382425
3.0,2309.4246979438694
4.0,1255.3209779732292
5.0,897.7984705419996
6.0,667.344480437506
7.0,534.2847756818179
8.0,476.4563888516606
9.0,468.6676368754705
10.0,571.378845165529
11.0,581.1155461613563
12.0,638.7683580272574
13.0,650.5316690969024
14.0,661.0059708114045
15.0,674.2571323450261
16.0,688.9886342258228
17.0,705.3839278894578
18.0,728.7800327298921
19.0,747.0673972418379
20.0,762.766293544528
21.0,780.1830940225877
22.0,792.9764573949599
23.0,805.5357097406991
24.0,817.8335426347554
25.0,829.918146080669
26.0,841.5845789801548
27.0,852.341228589901
28.0,862.7251650751887
29.0,872.2720375507554
30.0,881.1880873928858
31.0,889.4851713268804
32.0,897.6497594894055
33.0,905.0255078626251
34.0,911.947041879412
35.0,918.1710264491895
36.0,924.1148421170943
37.0,929.3925149043181
38.0,934.1545001571664
39.0,938.3916370494137
40.0,942.0172804947418
41.0,945.1838239240914
42.0,947.9790961115327
43.0,950.1748130635871
44.0,952.3491455139709
45.0,954.0979684930559
46.0,955.2667660504485
47.0,956.1757888558104
48.0,956.7038110829048
49.0,957.0053718532531
50.0,956.8926660144608
51.0,956.315642986671
52.0,955.8417292229642
53.0,955.0006202390324
54.0,953.8459076087797
55.0,952.6898077028876
56.0,951.4265537728922
57.0,950.3548332560218
58.0,948.4967929473361
59.0,947.134267882656
60.0,945.521502121971
61.0,943.7758542474721
62.0,942.1314525414035
63.0,940.5103154506911
64.0,938.8829129495584
65.0,937.690465912897
66.0,935.9169813696219
67.0,934.9608288835656
68.0,933.9614813982921
69.0,932.929533429251
70.0,932.0065107065102
71.0,931.5600525289567
72.0,930.4712889786887
73.0,930.3216602294731
74.0,930.1330223713056
75.0,930.20893952214
76.0,930.5458578318071
77.0,930.977130845512
78.0,931.4588914272393
79.0,932.0171560784759
80.0,932.6822293578967
81.0,933.4414895495819
82.0,934.3140571563499
83.0,935.2460911520733
84.0,936.3143145437483
85.0,937.4597930747177
86.0,938.6361020029585
87.0,939.8774401428751
88.0,941.1537295740533
89.0,942.4288305417293
90.0,943.681860304778
91.0,944.9997028175354
92.0,946.2880239400646
93.0,947.5624841994248
94.0,948.8190121923153
95.0,950.0388341971288
96.0,951.2591320133046
97.0,952.4155846096002
98.0,953.5345991204331
99.0,954.6223772101624
100.0,955.5820512455251
101.0,956.5820625735864
102.0,957.4965297438848
103.0,958.3838615175213
104.0,959.1851966872057
105.0,959.953632823688
106.0,960.6818182196517
107.0,961.3488139550241
108.0,961.9769509410255
109.0,962.561923258972
110.0,963.1005041490665
111.0,963.6021358683131
112.0,964.0722106897358
113.0,964.4975704056479
114.0,964.8844940522584
115.0,965.2370650004127
116.0,965.5730232199909
117.0,965.8647428260501
118.0,966.1422562728405
119.0,966.39934285449
120.0,966.6207507768435
121.0,966.8232090585159
122.0,966.9981550978827
123.0,967.1517428900343
124.0,967.2886168957552
125.0,967.404100239351
126.0,967.5021753831691
127.0,967.5865285154144
128.0,967.6558707811706
129.0,967.7193299203587
130.0,967.7734398292897
131.0,967.8045010931372
132.0,967.8328601431294
133.0,967.886553068722
134.0,967.9115537023326
135.0,967.9305321095896
136.0,967.9255523481266
137.0,967.9220193044861
138.0,967.9157606456944
139.0,967.9192582069721
140.0,967.9250982911515
141.0,967.9393975104812
142.0,967.954456338291
143.0,967.9927170204168
144.0,968.0271210512054
145.0,968.092267949409
146.0,968.1450848436474
147.0,968.2594194927236
148.0,968.3532194262053
149.0,968.4703396991698
150.0,968.6154104417194
151.0,968.784649613694
152.0,968.9806698699647
153.0,969.2029368960218
154.0,969.4505516397603
155.0,969.7243303615384
156.0,970.0277791319367
157.0,970.3623570785253
158.0,970.7275674142866
159.0,971.1216275072758
160.0,971.549975982832
161.0,972.0089263668214
162.0,972.5831764913954
163.0,973.0010637095312
