"Iteration","Lift in Y Monitor: Lift in Y Monitor (N)"
1.0,9255.944204104859
2.0,5751.805641604033
3.0,2986.574609702172
4.0,1557.7341805829026
5.0,1097.158533758442
6.0,808.4744110556948
7.0,644.924345027773
8.0,575.8421512583348
9.0,568.1944328913185
10.0,714.7814890777537
11.0,724.4445060013323
12.0,784.2929837100035
13.0,794.5233954614495
14.0,803.130741161032
15.0,819.8945897744172
16.0,833.6532752708508
17.0,856.5343848595265
18.0,879.6371745016596
19.0,901.5138527473983
20.0,926.0868442942947
21.0,943.6933209570881
22.0,959.1940328795138
23.0,974.4285505650857
24.0,989.02232980456
25.0,1003.2488198453749
26.0,1016.8971778168366
27.0,1029.4565177646814
28.0,1041.449211791936
29.0,1052.3833583457879
30.0,1062.7257602956145
31.0,1072.2539940267422
32.0,1081.119883507811
33.0,1089.6290736929961
34.0,1097.37761125396
35.0,1104.3451922444353
36.0,1110.4655767119573
37.0,1115.9941096418129
38.0,1120.8597727857498
39.0,1125.045869062093
40.0,1128.4751883104648
41.0,1131.3126871166269
42.0,1133.6722962823192
43.0,1135.2670814203411
44.0,1136.3809413856873
45.0,1137.048056078182
46.0,1137.130806256981
47.0,1136.54371953599
48.0,1135.8055702765892
49.0,1134.5673726587086
50.0,1132.9958752674493
51.0,1131.1254499900244
52.0,1128.903838876215
53.0,1126.38397467889
54.0,1123.5582694634536
55.0,1120.424165584465
56.0,1117.4458124730172
57.0,1114.351697751
58.0,1111.7717953011233
59.0,1107.5888830657568
60.0,1104.860822772021
61.0,1100.662203163061
62.0,1098.532155456571
63.0,1093.8092636729775
64.0,1091.8796487624104
65.0,1088.424902641917
66.0,1085.1966799863876
67.0,1082.5703806522113
68.0,1080.2671645310193
69.0,1078.334845135814
70.0,1076.496232664216
71.0,1075.4732787648773
72.0,1074.614098433075
73.0,1073.6203450803837
74.0,1073.6190964574123
75.0,1073.811513776061
76.0,1073.8875005865393
77.0,1074.5139795473835
78.0,1074.9199099869186
79.0,1075.7556150422013
80.0,1076.7643545175752
81.0,1078.27785565003
82.0,1079.9520607988948
83.0,1081.7316663477645
84.0,1083.6656794973242
85.0,1085.6701207308297
86.0,1088.102733079856
87.0,1090.6661159765636
88.0,1093.463073517826
89.0,1095.9817652628526
90.0,1099.017281928319
91.0,1101.8096714049923
92.0,1104.9832359096856
93.0,1108.0144195633777
94.0,1110.9285287633352
95.0,1113.9597499409147
96.0,1116.841838187292
97.0,1119.725837488405
98.0,1122.170916823767
99.0,1124.9929137123345
100.0,1127.1851377319776
101.0,1129.1970781767322
102.0,1130.7680121249389
103.0,1132.0863886841842
104.0,1132.996620858288
105.0,1133.375984862981
106.0,1133.2007498141968
107.0,1132.5122842294336
108.0,1131.3153373131377
109.0,1130.050999476089
110.0,1127.8106091457562
111.0,1124.1265732004213
112.0,1120.5749100819355
113.0,1116.2210972494272
114.0,1111.63673892156
115.0,1105.5344502676612
116.0,1098.8843818103521
117.0,1090.9863253192923
118.0,1082.9513716070046
119.0,1074.442273693946
120.0,1063.2417186047078
121.0,1054.3472241207173
122.0,1043.9732900939518
123.0,1030.529776072708
124.0,1020.065785799774
125.0,1007.2465489335195
126.0,994.9364007748183
127.0,981.8638155327194
