"Iteration","Lift in Y Monitor: Lift in Y Monitor (N)"
168.0,765.0239427962902
169.0,765.2759809145696
170.0,765.5730286778575
171.0,765.8341245703747
172.0,766.1395736111972
173.0,766.4068636920235
174.0,766.7192700346085
175.0,766.9914999256285
176.0,767.3110978287913
177.0,767.5878452008501
178.0,767.9138073944738
179.0,768.1947210050873
180.0,768.5262103552797
181.0,768.8108094450549
182.0,769.1469038025739
183.0,769.4333833884843
184.0,769.773860331807
185.0,770.0625660521531
186.0,770.4055702987364
187.0,770.6949605242546
188.0,771.0391743826366
189.0,771.3285048132605
190.0,771.6726404232452
191.0,771.960988910263
192.0,772.3038239956056
193.0,772.5894444082588
194.0,772.9306480284142
195.0,773.2127413202629
196.0,773.5513042028585
197.0,773.8289026084768
198.0,774.1636698193843
199.0,774.4367849169518
200.0,774.766882284042
201.0,775.0355460480754
202.0,775.3601985714907
203.0,775.6230934599882
204.0,775.9414987276028
205.0,776.1986313201087
206.0,776.5110530528992
207.0,776.7629191021998
208.0,777.0683112316906
209.0,777.3142852741646
210.0,777.6124798140546
211.0,777.8528168572869
212.0,778.1437491763425
213.0,778.3781923212175
214.0,778.6616802476709
215.0,778.8902031775478
216.0,779.1664462697186
217.0,779.3892047221985
218.0,779.6584262046493
219.0,779.8754839571303
220.0,780.1376349683208
221.0,780.3492390822926
222.0,780.6042993231658
223.0,780.8103714273443
224.0,781.0584595627953
225.0,781.2591928402358
226.0,781.500559590308
227.0,781.6960751764019
228.0,781.9308966837189
229.0,782.1210388545305
230.0,782.3494712787768
231.0,782.5343315945131
232.0,782.7565863497638
233.0,782.9365416528207
234.0,783.1527250216941
235.0,783.3278273899373
236.0,783.537951766505
237.0,783.7083740530487
238.0,783.9125739210529
239.0,784.0783724285635
240.0,784.2769992851394
241.0,784.4383960988869
242.0,784.6315318252563
243.0,784.7886374407277
244.0,784.9764301960522
245.0,785.1294625267018
246.0,785.312200326566
247.0,785.4616664390581
248.0,785.6387897988151
249.0,785.7845643625247
250.0,785.956717533433
251.0,786.0991113735382
252.0,786.2665424991826
253.0,786.4148802548735
254.0,786.5633288688621
255.0,786.7109044856015
256.0,786.8572337736193
257.0,787.0019491926301
258.0,787.1448639071647
259.0,787.2861481049825
260.0,787.425997978725
261.0,787.5638754978522
262.0,787.7002276733322
263.0,787.8351048404802
264.0,787.968441409757
265.0,788.1002720421794
266.0,788.2307109936825
267.0,788.3597548795522
268.0,788.4874227164338
269.0,788.6129464894146
270.0,788.7382272359829
271.0,788.8619862634432
272.0,788.9844735039105
273.0,789.1056586597073
274.0,789.225502462102
275.0,789.344053243263
276.0,789.461141587181
277.0,789.577018168015
278.0,789.6917868526839
279.0,789.8054215665235
280.0,789.917832027337
281.0,790.0291395383423
282.0,790.1392455307525
283.0,790.2481853021309
284.0,790.3558463082109
285.0,790.4624291702639
286.0,790.5677765463458
287.0,790.6719837755878
288.0,790.7750059721453
289.0,790.8770114750935
290.0,790.9780155822988
291.0,791.0776141182304
292.0,791.1759335047631
293.0,791.2731445824412
294.0,791.369162614204
295.0,791.4642335668353
296.0,791.5581674584388
297.0,791.6509590424461
298.0,791.7426530870173
299.0,791.8332841866855
300.0,791.9227702114432
301.0,792.011021109374
302.0,792.0982279524576
303.0,792.1843623198781
304.0,792.2694855978432
305.0,792.3534979454192
306.0,792.4364932500016
307.0,792.5184328700594
308.0,792.5942178617624
309.0,792.6828025476163
310.0,792.7542143566719
311.0,792.8398868684548
312.0,792.9091201539602
313.0,792.9925091405358
314.0,793.0598980470909
315.0,793.1412389925263
316.0,793.2068426838276
317.0,793.2861512394609
318.0,793.3500412199471
319.0,793.4273277111013
320.0,793.489561463647
321.0,793.5648117241772
322.0,793.6254819424032
323.0,793.6987420405583
324.0,793.7579358333908
325.0,793.8291644973486
326.0,793.8869005265542
327.0,793.9562267626636
328.0,794.0124981946548
329.0,794.0800056286238
330.0,794.134792898659
331.0,794.2005636233744
332.0,794.2539537995251
333.0,794.3180526570901
334.0,794.3700502842554
335.0,794.432499844982
336.0,794.4831529467567
337.0,794.5439399483412
338.0,794.5932856248145
339.0,794.6524742551812
340.0,794.7005689326621
341.0,794.7582155678975
342.0,794.8050552063589
343.0,794.861252148265
344.0,794.9068544159202
345.0,794.9616389305207
346.0,795.0060453691847
347.0,795.059448500759
348.0,795.1027117446741
349.0,795.1547631301328
350.0,795.1969306396567
351.0,795.2476600087141
352.0,795.2887727985767
353.0,795.3382099318719
354.0,795.3782939106932
355.0,795.4264783803278
356.0,795.4655621958942
357.0,795.5125391753145
358.0,795.5506532940439
359.0,795.5964561178783
360.0,795.6336162822205
361.0,795.6782970431289
362.0,795.7145367997904
363.0,795.7581110834614
364.0,795.7934591795282
365.0,795.835957458079
366.0,795.8704357153935
367.0,795.9118878071274
368.0,795.9455219493746
369.0,795.985954356496
370.0,796.018732017498
371.0,796.0582188034912
372.0,796.0901712960266
373.0,796.1287285244237
374.0,796.1598754535232
375.0,796.197520900804
376.0,796.227889920374
377.0,796.264641136295
