"Iteration","Continuity: Residual","X-momentum: Residual","Y-momentum: Residual","Sa_nut: Residual"
1.0,0.36495937084644936,1.0,0.10374725877795474,1.0
2.0,1.0,0.9776477148926349,1.0,0.6396669759483313
3.0,0.3242836741719419,0.671569745034737,0.6377916144127495,0.4091746175449236
4.0,0.3055752970549132,0.38548751028540384,0.3738928036543844,0.2617401776688682
5.0,0.3347113080727434,0.2516220753112517,0.26060466679265715,0.1674337311498331
6.0,0.33628096763953047,0.21830154484579897,0.204651598645277,0.1071351507698398
7.0,0.3041928672838935,0.21516531424196386,0.16955962117647347,0.0686188667832361
8.0,0.25581380615460986,0.212966243919268,0.14309838018119447,0.044074756847433956
9.0,0.2011699125417208,0.20539945248164715,0.12193967921029418,0.028568127562640256
10.0,0.1487946223057453,0.19540607061903265,0.1067253151478502,0.018904085147291784
11.0,0.11994096177857146,0.19132986374493602,0.0981805390897047,0.01370397932545438
12.0,0.09763302122325199,0.1730474709649325,0.0903728618513565,0.010638248019271171
13.0,0.07817155046042254,0.16279261051290128,0.08275732380791284,0.009027576927473874
14.0,0.06541943113162466,0.1543085264422403,0.07577913007833689,0.008347289555798198
15.0,0.0552379325402019,0.1477961886405639,0.06935154405362519,0.00814266722410669
16.0,0.046527463174414085,0.1426998648590252,0.06442471490205225,0.008105778876321692
17.0,0.04185985589688648,0.13723518973865456,0.06028602231540983,0.008060871742869716
18.0,0.036494773252997985,0.13194651048169134,0.056881090207155774,0.00797809532931998
19.0,0.0329641441860482,0.1268304216195948,0.05449826353381392,0.007837259865472722
20.0,0.030956869361717064,0.1234016347959467,0.05269378179069863,0.007641431722613983
21.0,0.02818638039695536,0.1194405601172349,0.051056614827808676,0.0074448997311295706
22.0,0.026435167894052432,0.1152200886577499,0.04973404243578654,0.007264697175130614
23.0,0.025969441850385248,0.11260412720511445,0.0482887940954147,0.007135694365784658
24.0,0.024924046216469084,0.10907083781468725,0.046862416132691286,0.007031232449168931
25.0,0.023641460853798535,0.10574687107015593,0.045460642432823294,0.006983424779626879
26.0,0.024251584729391845,0.10335019713086514,0.04394006894757412,0.006985897022960825
27.0,0.02542160191078093,0.10056991501332452,0.04244194069535658,0.007019010330895157
28.0,0.026327208767114075,0.09763000834371281,0.04090033365202406,0.007067737820335417
29.0,0.026685312314567618,0.09515984606340656,0.03941131953372516,0.007142489829504634
30.0,0.02690302556159366,0.09323631286903222,0.03791925408503738,0.007225683088979837
31.0,0.02623338906669802,0.09144015593513814,0.03652356868268116,0.007301935012833726
32.0,0.024917716134191456,0.08972264474977643,0.035151190474722,0.007390399152583419
33.0,0.02270792698513515,0.08781979594909052,0.033795887093657925,0.007489625331516896
34.0,0.02112537649508931,0.0858113401501172,0.032326411354469335,0.00763248122524581
35.0,0.02046758710383469,0.08406247191696815,0.030913205745416093,0.00782373049683942
36.0,0.019482525011257114,0.08250163338046243,0.029553994123698187,0.008039844954128818
37.0,0.01914609601939214,0.08133289103716164,0.02814627363077462,0.00828278099669068
38.0,0.019862206219511368,0.08027134203716234,0.026735171211734774,0.008558482076321983
39.0,0.02049428840369755,0.0787839172354338,0.025266040191226073,0.008838374818341198
40.0,0.021142571587428844,0.07715964830446186,0.02392830756457852,0.00912960070965181
41.0,0.022083474141105803,0.07526605626877,0.022707110200796632,0.009422586647256839
42.0,0.02294526378569927,0.07322366101145776,0.021662109818164892,0.009705266713204012
43.0,0.021008239089884882,0.07159163843676022,0.02060831718452223,0.00999598651808353
44.0,0.02265338270028783,0.07022223131099332,0.01966650203822329,0.010306437978371726
45.0,0.024457769391892505,0.06875252632258816,0.018989011143602456,0.0106024020557917
46.0,0.02582741756879076,0.06745169877002956,0.01850862608052601,0.010910407882256808
47.0,0.02535591825094459,0.0670223986748615,0.018407279880175903,0.011222222116854247
48.0,0.025639295025061643,0.06691486895979842,0.018562858946972904,0.01156424559165638
49.0,0.026028619393813682,0.0670718981662117,0.019057354649169436,0.011932097933377687
50.0,0.02614446963404371,0.06730047960293563,0.01977703014323867,0.012327581468722003
51.0,0.025062690437525178,0.06747388319930452,0.020574718347593564,0.012754851215456145
52.0,0.02392539238216691,0.06751259565546607,0.02139016466366297,0.01321495855052866
53.0,0.022823095718045323,0.06751178977709907,0.022259182172450515,0.013681464218004799
54.0,0.02237814197473808,0.06685205903297602,0.022847339089817724,0.014204885315850829
55.0,0.02119264010388058,0.06562453493702344,0.02357046068088407,0.014748806855189645
56.0,0.020512385418037016,0.06477862550854462,0.02399148448789227,0.015313820818386538
57.0,0.020187981732214744,0.0641776487308643,0.024421377685939223,0.015923864471757074
58.0,0.01998572511633475,0.06301681815882192,0.024812916682921696,0.01657101645059236
59.0,0.019290929671447722,0.06165012368851142,0.025048240268079745,0.017281652844931692
60.0,0.02021389856058269,0.05993310546406106,0.025154120794929256,0.018071270600183816
61.0,0.020034663010833516,0.05804062216120152,0.025120539772279266,0.018920133866117076
62.0,0.020582517739981952,0.05583224174918509,0.024858657345472383,0.01972035794987503
63.0,0.020067547832107978,0.053170332370860204,0.024371007719011073,0.020525568819700003
64.0,0.018411627930591208,0.0505228508827041,0.02358350949047641,0.021414569795890966
65.0,0.017644491575065466,0.04803056113782409,0.022524319804137695,0.022379477477358856
66.0,0.016347084971190085,0.04513413584167755,0.021284810070548825,0.0234591608053949
67.0,0.01640575273792995,0.042502557500989954,0.02000874405838397,0.02457172880498405
68.0,0.014817880234045617,0.03946705433629607,0.018410080979487986,0.02573816870871214
69.0,0.014588506096054643,0.037204376341523564,0.01686077060750178,0.026979511574436267
