"Iteration","Continuity: Residual","X-momentum: Residual","Y-momentum: Residual","Sa_nut: Residual"
1.0,0.3329030402071995,0.9999999999999999,0.24749468697025237,1.0
2.0,1.0,0.6525644712302219,1.0,0.6396330632899994
3.0,0.3557827951192752,0.4337621145319692,0.6115285772270395,0.4091501063208653
4.0,0.31732711757199944,0.28173696878126403,0.34331324146747677,0.26171147605557965
5.0,0.32469917773450335,0.1833302137298119,0.20699223386528987,0.16739034786458012
6.0,0.33119778538238637,0.12056283156534821,0.14654063275835919,0.10705839492398743
7.0,0.2954760757408088,0.08651755041499395,0.119522746873662,0.06847262130465684
8.0,0.24166002583263477,0.07226390766760438,0.1059390424470886,0.04379901072683956
9.0,0.171602415793221,0.0689695982355028,0.10030565592364324,0.028066116037985842
10.0,0.126825302041542,0.06620840915429943,0.0939856923848929,0.018040486987368497
11.0,0.10576585454816523,0.06271835728757608,0.08588537874874477,0.012329971641344866
12.0,0.09808718442256156,0.058131460386340296,0.07773762878692117,0.008615192273276874
13.0,0.0828157963391889,0.054047017309235744,0.06977721168210556,0.006200539704238035
14.0,0.06622683288277159,0.051234131467360014,0.06300019603569769,0.004686332462923359
15.0,0.053084438399308154,0.04922004126428334,0.057922710698292926,0.0037631071225374597
16.0,0.044105425994562124,0.04710934109337686,0.05400640004935154,0.0032025416270041952
17.0,0.035544172324168656,0.04585324205594267,0.05248276149048886,0.002860078994764444
18.0,0.028727028431448066,0.04437420495717107,0.05120757499085073,0.0026326023704478646
19.0,0.02410897461811749,0.04337164423571505,0.050504758555655116,0.0024785915937405086
20.0,0.021669804198949063,0.042510170854140016,0.050076521524494176,0.0023667674005984794
21.0,0.018224477077208274,0.04158442662794465,0.049772044922947414,0.002292381409844307
22.0,0.016968780708219205,0.04061014043619346,0.04896341537249802,0.0022406610481351696
23.0,0.016043877952660036,0.03964713034922538,0.04813072598732131,0.0022090710102759988
24.0,0.014802569428637733,0.03887907628836341,0.047266042759654604,0.002198163970328787
25.0,0.014572722868497574,0.03825416237743809,0.046225902642232974,0.0021978445862135443
26.0,0.014709705723286374,0.037791936842727795,0.04506551168594474,0.0022090223825900024
27.0,0.01379455191277461,0.036960558146498027,0.04376736726104632,0.002228751652393086
28.0,0.013678843318236385,0.03617616024767462,0.04232663899489589,0.0022707604123494755
29.0,0.013512833393567987,0.03548717826824033,0.04087706254810413,0.0023153015668723356
30.0,0.01263854801856053,0.034921023246534184,0.039404404984534326,0.002367672481532637
31.0,0.011929733288814888,0.034303708562851545,0.03789807695607407,0.0024334896065742184
32.0,0.011187806593386272,0.033787977615253206,0.03634219555382749,0.002505059130580021
33.0,0.010766861321531294,0.03327746973210409,0.034793567183076336,0.0025844432371258342
34.0,0.0107907262464657,0.03290803127864701,0.03323145170403077,0.002671895188030203
35.0,0.011562470700935126,0.03261785151647352,0.031673402029170405,0.002757193055359874
36.0,0.011663701471430683,0.03177757265560671,0.03014251165631507,0.0028466934004272196
37.0,0.011360490156020421,0.031013162269773346,0.028681241764862704,0.0029466884119536707
38.0,0.010845428150918305,0.03045994437288209,0.027284837570084833,0.0030540687096585277
39.0,0.010670500945046213,0.029932136669845857,0.025906209260975265,0.003167300319773825
40.0,0.011066639057499718,0.02922734512964061,0.02452407338954942,0.00328582769105942
41.0,0.010805148027491298,0.028854396757166893,0.02313883443956098,0.0034055381883935903
42.0,0.011579173071954855,0.028469024313249183,0.021883049912383375,0.00352185962881077
43.0,0.012057731749399512,0.028009142436943187,0.020709483634198275,0.0036406698951531153
44.0,0.012806314389668574,0.027455937505243094,0.019475754607004462,0.003761670699366948
45.0,0.013099076136611536,0.026873668586081992,0.018388995952763845,0.0038801290628565524
46.0,0.013224900966406527,0.026306495048137393,0.01734522086023614,0.0039928076171306765
47.0,0.012926189138371676,0.02564607596377706,0.016347712570627792,0.004102377178173929
48.0,0.012327673504036686,0.025372582844961192,0.015380195466810926,0.004209064596773597
49.0,0.011721021019636693,0.02540186455029612,0.014520016031516023,0.00430322650631505
50.0,0.01142050091890913,0.02565204938191982,0.013740053235184659,0.004387565796716324
51.0,0.011570559196776313,0.025839580128610817,0.013255888243513387,0.004469317596016494
52.0,0.011991787984650303,0.025960289855394517,0.0130710728759108,0.004545391496836518
53.0,0.012146859467793054,0.026038690698537703,0.013191983541339387,0.004612916724876524
54.0,0.012352800919476173,0.02613125407322689,0.01354267901549154,0.004671726189632977
55.0,0.013411943738024942,0.02613097588243238,0.0140864705307513,0.004727671639654518
56.0,0.013236090875321854,0.02575737944006394,0.014897089906335693,0.00478088194441377
57.0,0.012687240919114494,0.025452880398370237,0.016000642929708098,0.00483682280354463
58.0,0.0129557939147654,0.02511822537410106,0.016866063624969948,0.004895328584157364
59.0,0.013146387264629111,0.024284296659114937,0.017396800039813056,0.0049606883430604485
60.0,0.013059462277125069,0.023317618421466253,0.017881981517459934,0.005031289332473174
61.0,0.013233768212914538,0.022249211297977012,0.018233129444283614,0.005105873394369616
62.0,0.011861036729093942,0.02109370374127339,0.018493194851264987,0.005184704268325995
63.0,0.011726371873958873,0.019786127210483204,0.018518417920788087,0.005271346195416606
64.0,0.010008520756865258,0.018022672737785725,0.018277812820246535,0.005358790398872573
65.0,0.009490370997091362,0.01643512407515665,0.017685295601151695,0.0054505072411073505
66.0,0.008301097565436706,0.014812975763562766,0.016811495386601594,0.00554153013022253
67.0,0.008075987242981773,0.013264056368008365,0.01574535844083674,0.005634707890079737
68.0,0.007633692252500739,0.011846710886339637,0.014431341299085918,0.005728946403175681
