"Iteration","Continuity: Residual","X-momentum: Residual","Y-momentum: Residual","Sa_nut: Residual"
1.0,0.3017262693213658,1.0,0.2665808700762747,1.0
2.0,1.0,0.6779427362993355,1.0,0.6551459547276028
3.0,0.40825154417272663,0.5157567305774097,0.6078357870611061,0.4283787338703048
4.0,0.34257778310241743,0.3063160908752424,0.3424225740390023,0.27770679126524356
5.0,0.33045807373439307,0.1928023914606124,0.20300268342113714,0.1930335636094653
6.0,0.32516469256319697,0.12416363919965258,0.13287041738175961,0.13744751407036856
7.0,0.30715520294842596,0.3218911857971331,0.10166410258561132,0.17382959546000032
8.0,0.2567833716616542,0.15361362747753068,0.10056842926168322,0.14180496512955426
9.0,0.1837986320593955,0.10226889493273914,0.09544728088767694,0.14948694265040627
10.0,0.1377661905626503,0.09018831336960345,0.08812531936200378,0.14126247040361592
11.0,0.1120388888645002,0.08676790023832795,0.07861551439007443,0.1660585735850124
12.0,0.0994927877654176,0.0740814289730691,0.06970231554080736,0.18990954806744464
13.0,0.08242958152526625,0.05687221648258105,0.06108690424007912,0.14448841024708844
14.0,0.06590169257754316,0.04855632970167362,0.05362735766971439,0.1211500340433694
15.0,0.0528011189639716,0.044466376595170824,0.04810962252656687,0.10502332325001003
16.0,0.04389054878255317,0.041525559762249586,0.04441140690083854,0.09288230646331003
17.0,0.03497976329426511,0.03913684754328455,0.04241697002333521,0.08204546336807896
18.0,0.027758481336222027,0.03749318926363429,0.042905788594789336,0.11847141273441211
19.0,0.022115686577877824,0.03562617791779917,0.04289275243093996,0.08778299409013632
20.0,0.018504434467842282,0.03492811945597066,0.04255773713801598,0.0746415631210176
21.0,0.016416963679723395,0.035159651462127975,0.04200422654041957,0.09539348115194318
22.0,0.015529220078893985,0.035718671300723634,0.04138890345191807,0.06792659933949334
23.0,0.015205175307472944,0.035538517057400534,0.04074498350612863,0.05947645126329134
24.0,0.01459671341013002,0.03445855066618687,0.04002761204578037,0.09984101708708946
25.0,0.01341307599199746,0.03337376478569758,0.0393498096045323,0.0627190681977915
26.0,0.013709964264400992,0.03223691392788402,0.038325884171793514,0.0532986646224087
27.0,0.012555207738404999,0.03176425999422377,0.03740528624932765,0.044784275951989964
28.0,0.011957530757811235,0.03134509779288204,0.036322030791908114,0.08067348272656116
29.0,0.011444393426657026,0.031010873148809556,0.03517796639183444,0.04660315157217293
30.0,0.011492398016217669,0.030728599171274944,0.03395284479193117,0.03352600080801547
31.0,0.011256012712472764,0.03054260240309287,0.032799918536424846,0.02678506707451581
32.0,0.011730039707673303,0.030284132134098068,0.03154857452643186,0.02288297300937125
33.0,0.011576829147933305,0.029771712460283574,0.03041620214406035,0.020801695659237743
34.0,0.011702012251502157,0.029059294212257045,0.02918886874830062,0.01967577866311257
35.0,0.011391397363546317,0.02842740109437968,0.02800527051543826,0.01877150718230019
36.0,0.011068117477757116,0.027910272439657033,0.026833282722581252,0.017641780167975598
37.0,0.011164279063751423,0.02716854779152968,0.025655570071704676,0.01606839609677093
38.0,0.011139484764399335,0.02643036363243284,0.02449441988645763,0.013948591927950955
39.0,0.011318426293276689,0.02599639002670818,0.02332392593386562,0.011402295243858721
40.0,0.011428985138331139,0.025509963967812223,0.022140960037971037,0.01820785349667092
41.0,0.010911600488990274,0.02500345281941795,0.0210385886644649,0.01097573495866954
42.0,0.010830077755250748,0.024334497859769214,0.019888494405840063,0.007764433112211708
43.0,0.010620260494185877,0.02371162621868055,0.018815065161829462,0.005645251137524292
44.0,0.010263799217114516,0.02290145251676022,0.017819126507058053,0.004637832015833471
45.0,0.009884140251441537,0.022376843402483294,0.016801532098156956,0.004398849088733527
46.0,0.009776631566286043,0.022035296255212552,0.015812902788175414,0.004444748206205186
47.0,0.009769456723254367,0.021576641929714025,0.014810997854719418,0.004552402451084311
48.0,0.008807150996086477,0.020919863775529474,0.013889596979295768,0.004663496757965401
49.0,0.008154426793340372,0.02047813915726309,0.01299452189232774,0.0047643124121326185
50.0,0.007969477303880933,0.020317299269388796,0.012237653951628284,0.0048570025849137945
51.0,0.008476398544078478,0.020287350060669146,0.011545377423031347,0.004941560581203563
52.0,0.009075541675425057,0.020296496777405283,0.011030237967928338,0.005017245311906005
53.0,0.009589504139658839,0.020360711438679752,0.010716505167980511,0.005086748352750312
54.0,0.009804150757253972,0.0203449399884415,0.010624504730023084,0.0051432587506477735
55.0,0.009772247238210005,0.020208673637042596,0.01080822417951874,0.005191148919599879
56.0,0.009272017773986778,0.019766246948605674,0.011236913137856394,0.00523012870230541
57.0,0.00882466733136729,0.019357800141238522,0.011749941482914004,0.0052637288565410955
58.0,0.008526917984407766,0.018955525747741026,0.012318720259822495,0.00529579177012385
59.0,0.00856627739246134,0.01839125912398268,0.012902356132283533,0.0053302599742159834
60.0,0.008690263019670548,0.01770205430204487,0.013409082506280014,0.005367528720314821
61.0,0.009209895889521756,0.0171185528274786,0.01377018646514311,0.005413121144831189
62.0,0.008769776234575598,0.0164982979655499,0.014119512271055065,0.005460018687995888
63.0,0.008952177248330794,0.015793857269142095,0.01417269699814784,0.005510840722523927
64.0,0.008316226906243396,0.014893679070699925,0.014029034232292409,0.005565887891169933
65.0,0.008285130039857152,0.013962677953671046,0.013593910185495458,0.005627192978101895
66.0,0.008068143995467026,0.012964679692330287,0.012920021540408137,0.02007187661783443
